feature,anova_f_score,anova_p_value,anova_rank
self,55.6160470251545,3.5089478407881443e-22,1
short,47.99478057802536,1.6087203016761235e-19,2
path,44.75121834607276,2.3057780508026196e-18,3
practice,34.26106698171684,1.6031998945562746e-14,4
human,34.24002763730524,1.6325129513364188e-14,5
shape,25.94906427654204,2.329183867037395e-11,6
away,20.372711032284897,3.5568966145270854e-09,7
slow,17.120603992877783,7.06263682888263e-08,8
biomotion,16.92007903208674,8.503461252197377e-08,9
body,16.55472597196343,1.1931127590939998e-07,10
upperlimb,14.831796409929623,5.935871593336952e-07,11
near,14.767406083969895,6.304172468941955e-07,12
benefit,14.557735248571808,7.670248558657336e-07,13
color,14.337861253945462,9.423678974662473e-07,14
lowerlimb,13.741258869121118,1.6491654097697349e-06,15
consequential,13.716876935715643,1.6873708795547016e-06,16
texture,13.440642252576984,2.1876220062564524e-06,17
weight,13.059874525145402,3.1306292438853455e-06,18
toward,12.249431434268093,6.726988536273134e-06,19
drive,11.965461838558223,8.800335518128389e-06,20
fast,11.69236156470884,1.1398588335504036e-05,21
motion,9.904807974778441,6.246504868993893e-05,22
pattern,9.390774661765324,0.00010213714274221186,23
vision,9.13995505405783,0.00012988595913818974,24
bright,8.732516977734775,0.00019203017592935782,25
smell,8.697334994703974,0.00019863093181007576,26
duration,8.400458501922603,0.0002642362405358858,27
sound,7.378387248590926,0.0007079183956273399,28
small,6.794567684830691,0.001245519192843247,29
scene,6.545462762255929,0.0015857799807944787,30
audition,6.511850262938845,0.0016383456598316156,31
large,6.11686020542435,0.0024043482508140993,32
head,5.62533593523658,0.0038790422533210487,33
loud,5.319538488256577,0.005226325221824546,34
arousal,5.30616561971105,0.005294958156673369,35
landmark,5.038004698675169,0.006879488376417369,36
social,4.958744840029269,0.007433394791799269,37
caused,4.629089759218782,0.01026115064392493,38
high,4.5955698689631745,0.010603379557205658,39
happy,4.525319848088092,0.011358278296524082,40
pleasant,4.376043174675938,0.013146573496952358,41
communication,4.339600565100347,0.013624524471564788,42
surprised,4.224414700783025,0.015253089699634768,43
temperature,4.097060133135431,0.0172824398590725,44
cognition,4.054153489309906,0.01802554932531673,45
low,3.934471925041438,0.020272465883138434,46
number,3.848653274676735,0.02205499050425381,47
sad,2.8809733039849674,0.05717613925442752,48
needs,2.8650672504210575,0.05808053235654963,49
touch,2.734698868037551,0.06605604428656543,50
attention,2.1689455892564227,0.11556162554368947,51
taste,1.9867190105967998,0.13841632174138682,52
long,1.8540877229309285,0.15786012883037379,53
music,1.7137115424576088,0.18143853445265162,54
time,1.603623373771845,0.20238108449839237,55
dark,1.5991685890839398,0.20327788643012795,56
unpleasant,1.4657725644239716,0.23206438535071014,57
pain,1.4202944920372957,0.24278740449420155,58
angry,1.1901128689629714,0.3051985813515856,59
face,0.875051138619025,0.417590334386013,60
disgusted,0.6584322496222799,0.518189499656116,61
complexity,0.34183126693247606,0.7106632262370299,62
harm,0.3055123138152367,0.7369074983011888,63
speech,0.2323868513712096,0.7927400819966882,64
fearful,0.09614538705630948,0.9083516976341752,65
