feature,anova_f_score,anova_p_value,anova_rank,mutual_information,mi_rank,univariate_logistic_neg_log_loss,univariate_logistic_rank,anova_score_norm,mi_score_norm,logistic_score_norm,combined_screening_score,mean_rank,combined_rank
short,47.99478057802536,1.6087203016761235e-19,2,0.15486138973488117,6,-0.5216392567607387,1,0.8627291075404325,0.3392548640019921,1.0,0.6807935886169698,3.0,1
self,55.6160470251545,3.5089478407881443e-22,1,0.10148658082256024,16,-0.5285270034295434,2,1.0,0.2223266640828152,0.9227879747662145,0.673488260586369,6.333333333333333,2
practice,34.26106698171684,1.6031998945562746e-14,4,0.30097093597209734,2,-0.54380847752492,4,0.6153635108606945,0.6593370634641005,0.751481795808499,0.6601765888916178,3.3333333333333335,3
path,44.75121834607276,2.3057780508026196e-18,3,0.11128339778051233,13,-0.5361216738775529,3,0.8043074940963835,0.2437885521003023,0.8376512944452227,0.5867686773677189,6.333333333333333,4
human,34.24002763730524,1.6325129513364188e-14,5,0.22167231654328412,4,-0.5546894219632803,6,0.6149845594614514,0.48561756891530394,0.6295058003284132,0.5661420114163848,5.0,5
shape,25.94906427654204,2.329183867037395e-11,6,0.1263417538502083,11,-0.5496330886631098,5,0.46565138133719697,0.2767768944447957,0.6861875793101234,0.4342088261748218,7.333333333333333,6
complexity,0.34183126693247606,0.7106632262370299,62,0.4564750757235181,1,-0.6102477296608546,62,0.004425185791532005,1.0,0.00669406491422395,0.4031088872994576,41.666666666666664,7
body,16.55472597196343,1.1931127590939998e-07,10,0.195297787032934,5,-0.5811468767217667,21,0.296444699995886,0.42783888413487814,0.33291625331644153,0.35629668431559397,12.0,8
color,14.337861253945462,9.423678974662473e-07,14,0.1451986235033942,8,-0.5597706582538523,8,0.2565155096945701,0.31808664092612887,0.5725448574320392,0.3443498317346875,10.0,9
biomotion,16.92007903208674,8.503461252197377e-08,9,0.1417502434811415,9,-0.5775442523557921,13,0.3030252782992273,0.3105322744214803,0.3733018738726277,0.3200833958628086,10.333333333333334,10
near,14.767406083969895,6.304172468941955e-07,12,0.09427694241963791,17,-0.5587118475056922,7,0.2642522818672656,0.20653250841835757,0.5844141851143427,0.30519675313711786,12.0,11
away,20.372711032284897,3.5568966145270854e-09,7,0.054605281623362645,31,-0.5678892327584895,9,0.3652125642692899,0.11962379662638242,0.4815351833461019,0.2902415810274893,15.666666666666666,12
caused,4.629089759218782,0.01026115064392493,38,0.2651038001588708,3,-0.6007361165453659,45,0.0816453963068971,0.5807629249826584,0.11331977970907106,0.2876272844576364,28.666666666666668,13
texture,13.440642252576984,2.1876220062564524e-06,17,0.1162441144991504,12,-0.5749228707004232,12,0.24035519645740108,0.25465599477671846,0.4026877087841269,0.2785420182504732,13.666666666666666,14
upperlimb,14.831796409929623,5.935871593336952e-07,11,0.05158740963651032,34,-0.5679784978519132,10,0.26541205204084145,0.11301254412356183,0.48053451665823593,0.24747674179740853,18.333333333333332,15
consequential,13.716876935715643,1.6873708795547016e-06,16,0.0833684100820089,18,-0.580364799958554,18,0.24533061383006272,0.1826351853929134,0.34168337755598893,0.23952299520038825,17.333333333333332,16
benefit,14.557735248571808,7.670248558657336e-07,13,0.058510573971275015,27,-0.5745357997549746,11,0.2604757831845985,0.12817912101451565,0.4070267957227633,0.23686732082419834,17.0,17
vision,9.13995505405783,0.00012988595913818974,24,0.13160130548444737,10,-0.5914423711481132,28,0.1628931140035664,0.2882989948046075,0.21750318520205913,0.2239774805636814,20.666666666666668,18
slow,17.120603992877783,7.06263682888263e-08,8,0.036902175878217314,46,-0.5804386258967487,19,0.3066370455191721,0.0808416008688469,0.3408557846614048,0.22316261548748856,24.333333333333332,19
drive,11.965461838558223,8.800335518128389e-06,20,0.07583727730725065,20,-0.5800996533513667,17,0.21378489697029826,0.16613673197172424,0.3446556858462337,0.22089978874605576,19.0,20
fast,11.69236156470884,1.1398588335504036e-05,21,0.07272778435719163,21,-0.57909499765334,16,0.20886593519638222,0.1593247654144474,0.3559179323888701,0.21845986672210588,19.333333333333332,21
weight,13.059874525145402,3.1306292438853455e-06,18,0.047194711858088434,38,-0.578105555024402,15,0.23349697595993724,0.10338946060370172,0.3670096395764993,0.20815650254075546,23.666666666666668,22
small,6.794567684830691,0.001245519192843247,29,0.10536661139356363,14,-0.5876094410013359,26,0.12064903035018835,0.2308266474934176,0.26047054643685613,0.19268438042481362,23.0,23
motion,9.904807974778441,6.246504868993893e-05,22,0.060316384215826746,24,-0.5821902555887793,22,0.17666930773147033,0.13213510972143355,0.32121991788455756,0.18776575055807307,22.666666666666668,24
toward,12.249431434268093,6.726988536273134e-06,19,0.02519117770558843,51,-0.5779455293670707,14,0.21889963217932115,0.05518631584793569,0.36880353614181277,0.1833950864392653,28.0,25
