feature,univariate_logistic_neg_log_loss,univariate_logistic_rank
short,-0.5216392567607387,1
self,-0.5285270034295434,2
path,-0.5361216738775529,3
practice,-0.54380847752492,4
shape,-0.5496330886631098,5
human,-0.5546894219632803,6
near,-0.5587118475056922,7
color,-0.5597706582538523,8
away,-0.5678892327584895,9
upperlimb,-0.5679784978519132,10
benefit,-0.5745357997549746,11
texture,-0.5749228707004232,12
biomotion,-0.5775442523557921,13
toward,-0.5779455293670707,14
weight,-0.578105555024402,15
fast,-0.57909499765334,16
drive,-0.5800996533513667,17
consequential,-0.580364799958554,18
slow,-0.5804386258967487,19
bright,-0.5809811836387871,20
body,-0.5811468767217667,21
motion,-0.5821902555887793,22
smell,-0.5838936607585619,23
lowerlimb,-0.5852950072002289,24
pattern,-0.587360941318842,25
small,-0.5876094410013359,26
sound,-0.5909406991299054,27
vision,-0.5914423711481132,28
landmark,-0.593562796225957,29
scene,-0.593792991756353,30
audition,-0.5939012001038179,31
loud,-0.5939531249217748,32
large,-0.593962096856691,33
head,-0.5943493768256377,34
duration,-0.5948114319798691,35
high,-0.5955519828267354,36
number,-0.5967355845554464,37
arousal,-0.598651128357035,38
surprised,-0.5986601414484216,39
social,-0.5991978703534714,40
temperature,-0.5992588216163711,41
happy,-0.599283912424992,42
low,-0.5993955682680412,43
pleasant,-0.600273987860841,44
caused,-0.6007361165453659,45
communication,-0.6014022701231609,46
cognition,-0.6024810854561377,47
needs,-0.6029154779926784,48
touch,-0.603786124236879,49
music,-0.6052354376597203,50
sad,-0.6054601959393929,51
taste,-0.6054857485848457,52
attention,-0.6057898843657802,53
long,-0.6065859753963125,54
dark,-0.6066017997729611,55
time,-0.6069813647284554,56
unpleasant,-0.607925392229303,57
pain,-0.6080968191407065,58
angry,-0.6084731329105897,59
face,-0.6091598795750891,60
disgusted,-0.6096988251970138,61
complexity,-0.6102477296608546,62
harm,-0.6103058769930326,63
speech,-0.6105483887841483,64
fearful,-0.6108448778793362,65
