feature,max_abs_coefficient,n_active_classes,model,selected
practice,3.747788741568032,3,Elastic Net,True
human,2.8865005300469107,3,Elastic Net,True
short,2.666150063935471,3,Elastic Net,True
near,1.9969283594200555,3,Elastic Net,True
surprised,1.9587925847252576,3,Elastic Net,True
texture,1.9462064430687318,3,Elastic Net,True
drive,1.8690904984481858,3,Elastic Net,True
biomotion,1.7956203076337043,3,Elastic Net,True
head,1.6820483463836773,3,Elastic Net,True
motion,1.6571577098896817,3,Elastic Net,True
duration,1.5127136133476473,3,Elastic Net,True
upperlimb,1.4875204644959201,3,Elastic Net,True
vision,1.4073497858913666,3,Elastic Net,True
long,1.3836759323228525,3,Elastic Net,True
self,1.324800999459608,3,Elastic Net,True
pain,1.3233343763580299,3,Elastic Net,True
complexity,1.255375218360022,3,Elastic Net,True
path,1.2447364225405577,3,Elastic Net,True
arousal,1.2189474695928455,3,Elastic Net,True
caused,1.2058699538235005,3,Elastic Net,True
benefit,1.1883107424115933,3,Elastic Net,True
face,1.1556390651710589,3,Elastic Net,True
time,1.1012123182320974,3,Elastic Net,True
body,1.0935856872150862,3,Elastic Net,True
toward,1.0608373726296891,3,Elastic Net,True
pattern,1.0367799688719308,3,Elastic Net,True
speech,1.0245652997774868,3,Elastic Net,True
music,1.0216736229427832,3,Elastic Net,True
color,0.9732434607369345,3,Elastic Net,True
loud,0.9569024403069155,3,Elastic Net,True
landmark,0.9234943565809794,2,Elastic Net,True
consequential,0.8751545084992814,3,Elastic Net,True
happy,0.8636248934248871,3,Elastic Net,True
low,0.8154966491860597,3,Elastic Net,True
communication,0.7830214007597962,3,Elastic Net,True
harm,0.7825504883294712,3,Elastic Net,True
taste,0.7776859625597672,3,Elastic Net,True
unpleasant,0.7171803374702382,3,Elastic Net,True
angry,0.6953485810220611,3,Elastic Net,True
large,0.6949093881199905,3,Elastic Net,True
shape,0.6699329750344047,3,Elastic Net,True
number,0.6667854697914682,3,Elastic Net,True
attention,0.5655482425464081,3,Elastic Net,True
away,0.556382887532164,3,Elastic Net,True
audition,0.5516383577013559,3,Elastic Net,True
disgusted,0.547042155577529,3,Elastic Net,True
dark,0.5319274348061243,3,Elastic Net,True
high,0.5272843975287087,3,Elastic Net,True
fast,0.5133975351117764,3,Elastic Net,True
fearful,0.4980018644850513,3,Elastic Net,True
lowerlimb,0.48512451730481865,3,Elastic Net,True
scene,0.4815579373933162,2,Elastic Net,True
slow,0.47545260456232386,3,Elastic Net,True
social,0.4582590614655697,3,Elastic Net,True
smell,0.4563874431754249,3,Elastic Net,True
sound,0.35959807727101045,3,Elastic Net,True
touch,0.3492109154924827,3,Elastic Net,True
pleasant,0.30984591862613176,3,Elastic Net,True
sad,0.29381050052151564,3,Elastic Net,True
weight,0.22826123155766148,3,Elastic Net,True
bright,0.20138469151725602,3,Elastic Net,True
temperature,0.1917611783755015,3,Elastic Net,True
small,0.12964128628715293,3,Elastic Net,True
needs,0.1283509857045825,3,Elastic Net,True
cognition,0.03779591615948456,2,Elastic Net,True
