feature,max_abs_coefficient,n_active_classes,model,selected
practice,4.799638540060006,3,LASSO,True
human,4.443923161900163,3,LASSO,True
short,3.4221274364800474,3,LASSO,True
near,3.0293380665318894,2,LASSO,True
drive,2.406219545306396,3,LASSO,True
surprised,2.1462223320255256,2,LASSO,True
texture,2.0661972184204016,3,LASSO,True
long,1.9498196270548946,3,LASSO,True
motion,1.9497544509798823,2,LASSO,True
duration,1.7362147871371783,2,LASSO,True
self,1.646645028372084,3,LASSO,True
benefit,1.6094266972440285,3,LASSO,True
face,1.5511704519014669,3,LASSO,True
arousal,1.4881748727495123,3,LASSO,True
caused,1.4528566012158073,3,LASSO,True
complexity,1.4265692339490494,2,LASSO,True
head,1.4091453286818492,3,LASSO,True
biomotion,1.3866959379360384,3,LASSO,True
path,1.3746772349639342,3,LASSO,True
pain,1.2490790202585544,3,LASSO,True
color,1.2457307670168263,2,LASSO,True
body,1.239827178944601,3,LASSO,True
upperlimb,1.2036101987418508,2,LASSO,True
vision,1.1660373130160253,3,LASSO,True
music,1.1444284083296814,2,LASSO,True
speech,1.1156910912835156,3,LASSO,True
toward,0.9748795171135807,3,LASSO,True
time,0.9414444897033545,3,LASSO,True
loud,0.9206262554437367,3,LASSO,True
consequential,0.8455860762304,3,LASSO,True
happy,0.8221907987062677,3,LASSO,True
large,0.7824700487505455,3,LASSO,True
pattern,0.7779141097239657,2,LASSO,True
communication,0.7645622338230265,2,LASSO,True
shape,0.7542805755960159,3,LASSO,True
landmark,0.7458308509907071,2,LASSO,True
low,0.700154122815812,3,LASSO,True
attention,0.6483642154320112,3,LASSO,True
angry,0.6390897890944107,3,LASSO,True
harm,0.6269591892482372,3,LASSO,True
scene,0.6254105156669303,2,LASSO,True
number,0.6025681943962773,3,LASSO,True
dark,0.48596022568767944,3,LASSO,True
smell,0.46610044833456404,3,LASSO,True
taste,0.44942044359069816,3,LASSO,True
slow,0.44224904470741144,3,LASSO,True
lowerlimb,0.4414669828008388,2,LASSO,True
fearful,0.4266414117551754,3,LASSO,True
unpleasant,0.4203175855914938,3,LASSO,True
audition,0.3871200201821332,3,LASSO,True
social,0.3870937724667943,3,LASSO,True
disgusted,0.3525169139996083,2,LASSO,True
away,0.33863920847825485,2,LASSO,True
fast,0.33803226281691484,3,LASSO,True
high,0.32055590049150956,3,LASSO,True
pleasant,0.308496687635919,3,LASSO,True
touch,0.2202725497164138,3,LASSO,True
bright,0.18379915105864525,2,LASSO,True
weight,0.14654446221147338,2,LASSO,True
temperature,0.13604483787136165,2,LASSO,True
small,0.13366243604223776,2,LASSO,True
sound,0.11701308754297848,2,LASSO,True
sad,0.10457158011580243,3,LASSO,True
cognition,0.03859184667259645,2,LASSO,True
needs,0.023525305990086117,1,LASSO,True
