model,class_display,feature,coefficient,abs_coefficient
LASSO,Action,human,4.443923161900163,4.443923161900163
LASSO,Action,practice,2.818705847000271,2.818705847000271
LASSO,Action,face,-1.5511704519014669,1.5511704519014669
LASSO,Action,caused,1.4528566012158073,1.4528566012158073
LASSO,Action,path,1.3746772349639342,1.3746772349639342
LASSO,Action,speech,-1.1156910912835156,1.1156910912835156
LASSO,Action,short,1.054643727371707,1.054643727371707
LASSO,Action,vision,-0.9846544296713612,0.9846544296713612
LASSO,Action,pattern,0.7779141097239657,0.7779141097239657
LASSO,Action,number,-0.6025681943962773,0.6025681943962773
LASSO,Action,biomotion,0.5171284583652411,0.5171284583652411
LASSO,Action,landmark,0.4928374657239276,0.4928374657239276
LASSO,Action,harm,-0.455516140471357,0.455516140471357
LASSO,Action,consequential,0.426525150919251,0.426525150919251
LASSO,Action,arousal,0.3477899212533429,0.3477899212533429
LASSO,Action,away,-0.3386392084782548,0.3386392084782548
LASSO,Action,time,-0.2267572904738379,0.2267572904738379
LASSO,Action,slow,0.2168679754264204,0.2168679754264204
LASSO,Action,lowerlimb,-0.2021595638225688,0.2021595638225688
LASSO,Action,dark,0.1640133049295124,0.1640133049295124
LASSO,Action,attention,0.1511064662618074,0.1511064662618074
LASSO,Action,long,0.143484530599235,0.143484530599235
LASSO,Action,low,-0.1370743122325809,0.1370743122325809
LASSO,Action,happy,-0.1246364611709294,0.1246364611709294
LASSO,Action,sound,-0.1170130875429784,0.1170130875429784
LASSO,Action,head,0.1121628141126104,0.1121628141126104
LASSO,Action,self,0.1115525285771109,0.1115525285771109
LASSO,Action,social,-0.1061306244773286,0.1061306244773286
LASSO,Action,body,0.1054677843275878,0.1054677843275878
LASSO,Action,sad,-0.1045715801158024,0.1045715801158024
LASSO,Action,loud,0.0943321841665096,0.0943321841665096
LASSO,Action,unpleasant,0.085998542816403,0.085998542816403
LASSO,Action,touch,0.0794925129193169,0.0794925129193169
LASSO,Action,toward,-0.0761195478506237,0.0761195478506237
LASSO,Action,bright,-0.069161099074053,0.069161099074053
LASSO,Action,fearful,-0.0611026779691718,0.0611026779691718
LASSO,Action,fast,0.0558529948474866,0.0558529948474866
LASSO,Action,benefit,-0.0537615767154606,0.0537615767154606
LASSO,Action,large,0.0528582419463197,0.0528582419463197
LASSO,Action,temperature,-0.0376416418621982,0.0376416418621982
LASSO,Action,drive,-0.0323194362503002,0.0323194362503002
LASSO,Action,angry,0.0305569305654123,0.0305569305654123
LASSO,Action,texture,0.0188350818562549,0.0188350818562549
LASSO,Action,pain,-0.0143633209420326,0.0143633209420326
LASSO,Action,audition,-0.0141083003787917,0.0141083003787917
LASSO,Action,pleasant,-0.0139016424673606,0.0139016424673606
LASSO,Action,shape,-0.01081428663211,0.01081428663211
LASSO,Action,high,-0.0101510954795099,0.0101510954795099
LASSO,Action,taste,0.0060751253093508,0.0060751253093508
LASSO,Action,smell,-0.0027881724523438,0.0027881724523438
LASSO,Property,short,-3.422127436480048,3.422127436480048
LASSO,Property,near,-3.0293380665318894,3.0293380665318894
LASSO,Property,surprised,-2.1462223320255256,2.1462223320255256
