feature,Thing,Action,Property
practice,-3.747788741568032,2.728173874461579,0.679656680196065
human,-2.1879319585953625,2.8865005300469107,-0.4672999359045359
short,0.7490007863515378,1.5365956700083507,-2.666150063935471
near,1.3062182950040353,0.2708327034572004,-1.9969283594200555
surprised,1.7089840409031736,0.0879778000915846,-1.9587925847252576
texture,1.7277480733516684,0.0672772017601533,-1.946206443068732
drive,1.8690904984481855,-0.250620356494967,-1.278217197559404
biomotion,0.6175130162404134,0.8472933065565545,-1.7956203076337045
head,1.0413830974149827,0.3093850838402023,-1.6820483463836773
motion,1.6571577098896817,-0.0013469658226096,-1.5322141566595708
duration,-1.512713613347647,0.1772866174266584,0.9884752934331712
upperlimb,0.9494989842911016,0.2166929285728306,-1.48752046449592
vision,-0.1566545112451028,-1.1810141153642857,1.4073497858913666
long,0.6535054302754452,0.3967226990147701,-1.3836759323228525
self,-1.324800999459608,0.6111169569022928,0.303812829530613
pain,-0.8242803595045178,-0.1918971255971882,1.32333437635803
complexity,-1.0314880129389905,-0.0894656674224601,1.255375218360022
path,-1.1516928340816646,1.2447364225405575,0.0168088424600553
arousal,-1.2189474695928455,0.8052876124454414,0.2114890656258653
caused,-0.2536722799455185,1.2058699538235005,-0.6642515873549094
benefit,1.1883107424115933,-0.1984797326717096,-0.6142218238175697
face,0.6394573654033574,-1.1556390651710589,0.1929314595713073
time,1.1012123182320974,-0.3924046655238337,-0.3998431161144271
body,-1.0935856872150862,0.3001706923966812,0.4821444197445071
toward,-0.4871022897982111,-0.333931433250503,1.0608373726296891
pattern,-0.3801451775786707,1.0367799688719308,-0.2815360107147254
speech,-0.1397167103861654,-0.8751239779500702,1.0245652997774868
music,-0.7571426190811155,-0.0448772018473873,1.0216736229427832
color,0.9732434607369344,-0.1546717329526606,-0.4136484609432009
loud,0.2613024356447684,0.531625478778984,-0.9569024403069156
landmark,0.0,0.7488704759898743,-0.9234943565809794
consequential,-0.1426009861542499,0.8751545084992814,-0.7088439221752826
happy,-0.4373038134497052,-0.2461780117394044,0.8636248934248871
low,-0.2145486082716129,-0.3987798931655144,0.8154966491860597
communication,-0.6771664140222328,-0.0550853487567908,0.7830214007597962
harm,0.6818328130284321,-0.7825504883294712,0.1142038237791686
taste,-0.7776859625597672,0.1773026615880478,0.3878239107431991
unpleasant,-0.7171803374702382,0.2789360671781489,0.1711149823796268
angry,-0.6953485810220611,0.1425151288580869,0.324859821338753
large,0.3369419519604961,0.1731402915901899,-0.6949093881199905
shape,0.6699329750344047,-0.1693153221430243,-0.2152861151917764
number,0.5382350338470887,-0.6667854697914682,0.100326186129231
attention,-0.5655482425464081,0.1707793011029638,0.2863096812254482
away,-0.0612063334591589,-0.4102475424532522,0.556382887532164
audition,0.5516383577013559,-0.0950736352698626,-0.2445353488842485
disgusted,0.547042155577529,-0.0841322994524647,-0.2770548385711642
dark,0.1194068150630572,0.4221732715598434,-0.5319274348061243
high,0.5272843975287087,-0.0956763885361948,-0.2388253254672072
fast,0.0933034462138692,0.438015597355011,-0.5133975351117764
fearful,-0.2008328709703699,-0.1783448287725831,0.4980018644850513
lowerlimb,0.4851245173048186,-0.2251598024376313,-0.1041321896525041
scene,0.4815579373933162,0.0,-0.3755495902118894
slow,-0.4754526045623238,0.3651588528748881,0.0647163796390682
social,0.4582590614655697,-0.3414604349591333,-0.0787919520996544
smell,0.4563874431754249,-0.0825303470581934,-0.2839236858089714
sound,0.1199859310774653,-0.3595980772710104,0.212966274933094
touch,-0.2343255240592804,0.3492109154924827,-0.0093279285480726
pleasant,-0.0804694584348954,-0.0978900546478712,0.3098459186261317
sad,0.2938105005215156,-0.2351906260302436,0.0049280743199083
weight,0.2282612315576614,-0.1155133699051698,-0.0943041368808069
bright,0.1645574685937643,-0.201384691517256,-0.014082101554392
temperature,0.1917611783755015,-0.1047980669471725,-0.0194431787770877
small,0.1046747092275125,0.0024235398337673,-0.1296412862871529
needs,0.1283509857045825,-0.1224062252663272,0.0108674304883526
cognition,-0.0377959161594845,0.0197115373959316,0.0
