model,class_raw,class_display,feature,coefficient,abs_coefficient,is_nonzero
LASSO,noun,Thing,practice,-4.799638540060006,4.799638540060006,True
LASSO,verb,Action,human,4.443923161900163,4.443923161900163,True
Elastic Net,noun,Thing,practice,-3.747788741568032,3.747788741568032,True
LASSO,adjective,Property,short,-3.422127436480048,3.422127436480048,True
LASSO,adjective,Property,near,-3.0293380665318894,3.0293380665318894,True
Elastic Net,verb,Action,human,2.8865005300469107,2.8865005300469107,True
LASSO,verb,Action,practice,2.818705847000271,2.818705847000271,True
Elastic Net,verb,Action,practice,2.728173874461579,2.728173874461579,True
Elastic Net,adjective,Property,short,-2.666150063935471,2.666150063935471,True
LASSO,noun,Thing,drive,2.406219545306396,2.406219545306396,True
Elastic Net,noun,Thing,human,-2.1879319585953625,2.1879319585953625,True
LASSO,adjective,Property,surprised,-2.1462223320255256,2.1462223320255256,True
LASSO,adjective,Property,texture,-2.0661972184204016,2.0661972184204016,True
Elastic Net,adjective,Property,near,-1.9969283594200555,1.9969283594200555,True
Elastic Net,adjective,Property,surprised,-1.9587925847252576,1.9587925847252576,True
LASSO,adjective,Property,long,-1.9498196270548944,1.9498196270548944,True
LASSO,adjective,Property,motion,-1.9497544509798823,1.9497544509798823,True
Elastic Net,adjective,Property,texture,-1.946206443068732,1.946206443068732,True
Elastic Net,noun,Thing,drive,1.8690904984481855,1.8690904984481855,True
LASSO,noun,Thing,texture,1.8048470464359372,1.8048470464359372,True
Elastic Net,adjective,Property,biomotion,-1.7956203076337045,1.7956203076337045,True
LASSO,noun,Thing,duration,-1.7362147871371785,1.7362147871371785,True
Elastic Net,noun,Thing,texture,1.7277480733516684,1.7277480733516684,True
Elastic Net,noun,Thing,surprised,1.7089840409031736,1.7089840409031736,True
Elastic Net,adjective,Property,head,-1.6820483463836773,1.6820483463836773,True
Elastic Net,noun,Thing,motion,1.6571577098896817,1.6571577098896817,True
LASSO,noun,Thing,self,-1.646645028372084,1.646645028372084,True
LASSO,noun,Thing,human,-1.6259021643904372,1.6259021643904372,True
LASSO,noun,Thing,surprised,1.620413469834616,1.620413469834616,True
LASSO,noun,Thing,benefit,1.6094266972440283,1.6094266972440283,True
