model,class_raw,class_display,feature,coefficient,abs_coefficient,is_nonzero
Post-selection Logistic,adjective,Property,vision,0.6018817014114498,0.6018817014114498,True
Post-selection Logistic,adjective,Property,bright,0.08032020558733313,0.08032020558733313,True
Post-selection Logistic,adjective,Property,dark,-0.2070611022295449,0.2070611022295449,True
Post-selection Logistic,adjective,Property,color,-0.23038975645525184,0.23038975645525184,True
Post-selection Logistic,adjective,Property,pattern,-0.23475277949150525,0.23475277949150525,True
Post-selection Logistic,adjective,Property,large,-0.28983862647558345,0.28983862647558345,True
Post-selection Logistic,adjective,Property,small,-0.16781802494353726,0.16781802494353726,True
Post-selection Logistic,adjective,Property,motion,-0.5893669985277621,0.5893669985277621,True
Post-selection Logistic,adjective,Property,biomotion,-0.6524517521889518,0.6524517521889518,True
Post-selection Logistic,adjective,Property,fast,-0.2997250113144521,0.2997250113144521,True
Post-selection Logistic,adjective,Property,slow,-0.03179453139045831,0.03179453139045831,True
Post-selection Logistic,adjective,Property,shape,-0.15334404071029817,0.15334404071029817,True
Post-selection Logistic,adjective,Property,complexity,0.49199120490312115,0.49199120490312115,True
Post-selection Logistic,adjective,Property,face,0.17635532942307225,0.17635532942307225,True
Post-selection Logistic,adjective,Property,body,0.17223978271810372,0.17223978271810372,True
Post-selection Logistic,adjective,Property,touch,-0.11646411583316894,0.11646411583316894,True
Post-selection Logistic,adjective,Property,temperature,-0.003325009319954114,0.003325009319954114,True
Post-selection Logistic,adjective,Property,texture,-0.711259282993451,0.711259282993451,True
Post-selection Logistic,adjective,Property,weight,-0.020174199548518956,0.020174199548518956,True
Post-selection Logistic,adjective,Property,pain,0.5280267487378051,0.5280267487378051,True
Post-selection Logistic,adjective,Property,audition,-0.15264970953002596,0.15264970953002596,True
Post-selection Logistic,adjective,Property,loud,-0.3661978073603573,0.3661978073603573,True
Post-selection Logistic,adjective,Property,low,0.2520715085456218,0.2520715085456218,True
Post-selection Logistic,adjective,Property,high,-0.16502464896420538,0.16502464896420538,True
