class,feature,coefficient,abs_coefficient,model,target
Cluster_02,duration,0.700612888708162,0.700612888708162,baseline,kmeans_k3
Cluster_03,duration,-0.6263990957429633,0.6263990957429633,baseline,kmeans_k3
Cluster_02,human,0.6047609914362578,0.6047609914362578,baseline,kmeans_k3
Cluster_01,pain,0.5852507411737696,0.5852507411737696,baseline,kmeans_k3
Cluster_01,caused,0.582592418716153,0.582592418716153,baseline,kmeans_k3
Cluster_03,human,-0.530791251472272,0.530791251472272,baseline,kmeans_k3
Cluster_02,pain,-0.5267421023615897,0.5267421023615897,baseline,kmeans_k3
Cluster_03,caused,-0.525995722764486,0.525995722764486,baseline,kmeans_k3
Cluster_01,happy,-0.5123692842755466,0.5123692842755466,baseline,kmeans_k3
Cluster_03,practice,0.4976140570487275,0.4976140570487275,baseline,kmeans_k3
Cluster_01,sad,0.4803813829775993,0.4803813829775993,baseline,kmeans_k3
Cluster_01,pleasant,-0.4669881446290048,0.4669881446290048,baseline,kmeans_k3
Cluster_01,unpleasant,0.4648638158305298,0.4648638158305298,baseline,kmeans_k3
Cluster_03,weight,0.46110918111452687,0.46110918111452687,baseline,kmeans_k3
Cluster_02,weight,-0.4510406437994832,0.4510406437994832,baseline,kmeans_k3
Cluster_01,consequential,0.44396101940908467,0.44396101940908467,baseline,kmeans_k3
Cluster_02,sad,-0.440972264204277,0.440972264204277,baseline,kmeans_k3
Cluster_03,bright,0.4401456862836453,0.4401456862836453,baseline,kmeans_k3
Cluster_02,time,0.43243373033778904,0.43243373033778904,baseline,kmeans_k3
Cluster_03,consequential,-0.4300511181515274,0.4300511181515274,baseline,kmeans_k3
Cluster_03,long,-0.4062485867371654,0.4062485867371654,baseline,kmeans_k3
Cluster_03,short,-0.3963871086323766,0.3963871086323766,baseline,kmeans_k3
Cluster_03,cognition,-0.3950894396208605,0.3950894396208605,baseline,kmeans_k3
Cluster_02,happy,0.38177961322518095,0.38177961322518095,baseline,kmeans_k3
Cluster_01,disgusted,0.3811543814798634,0.3811543814798634,baseline,kmeans_k3
Cluster_01,fearful,0.36255365215326363,0.36255365215326363,baseline,kmeans_k3
Cluster_03,touch,0.35816361199529206,0.35816361199529206,baseline,kmeans_k3
Cluster_03,drive,-0.3577859109286881,0.3577859109286881,baseline,kmeans_k3
Cluster_02,unpleasant,-0.3560724691647585,0.3560724691647585,baseline,kmeans_k3
Cluster_02,benefit,0.3522122600390177,0.3522122600390177,baseline,kmeans_k3
Cluster_02,speech,0.35166159094512933,0.35166159094512933,baseline,kmeans_k3
Cluster_03,shape,0.34856399672062754,0.34856399672062754,baseline,kmeans_k3
Cluster_03,texture,0.3338979865309596,0.3338979865309596,baseline,kmeans_k3
Cluster_01,angry,0.33358600241238123,0.33358600241238123,baseline,kmeans_k3
Cluster_02,practice,-0.33229627621405133,0.33229627621405133,baseline,kmeans_k3
Cluster_02,biomotion,0.32932704474697605,0.32932704474697605,baseline,kmeans_k3
Cluster_01,needs,-0.3272620787376471,0.3272620787376471,baseline,kmeans_k3
Cluster_02,touch,-0.32182130075222715,0.32182130075222715,baseline,kmeans_k3
Cluster_01,harm,0.3151900567823299,0.3151900567823299,baseline,kmeans_k3
Cluster_01,social,0.3148546730447762,0.3148546730447762,baseline,kmeans_k3
Cluster_03,small,0.31470462801531973,0.31470462801531973,baseline,kmeans_k3
Cluster_03,scene,0.31346383599008304,0.31346383599008304,baseline,kmeans_k3
Cluster_02,face,0.3097607183236873,0.3097607183236873,baseline,kmeans_k3
Cluster_03,biomotion,-0.30347992177134453,0.30347992177134453,baseline,kmeans_k3
Cluster_01,long,0.3016762858487338,0.3016762858487338,baseline,kmeans_k3
Cluster_02,fearful,-0.3010357879193249,0.3010357879193249,baseline,kmeans_k3
Cluster_02,bright,-0.29902228614512333,0.29902228614512333,baseline,kmeans_k3
Cluster_02,cognition,0.2939718892107398,0.2939718892107398,baseline,kmeans_k3
Cluster_01,short,0.2880213451405887,0.2880213451405887,baseline,kmeans_k3
Cluster_02,shape,-0.28414250495474147,0.28414250495474147,baseline,kmeans_k3
Cluster_03,time,-0.2828485093971252,0.2828485093971252,baseline,kmeans_k3
Cluster_02,pleasant,0.27967886054417096,0.27967886054417096,baseline,kmeans_k3
Cluster_02,drive,0.2749233018236438,0.2749233018236438,baseline,kmeans_k3
Cluster_03,color,0.2726135709643597,0.2726135709643597,baseline,kmeans_k3
Cluster_03,arousal,-0.2723364539571945,0.2723364539571945,baseline,kmeans_k3
Cluster_01,attention,0.2680599431998174,0.2680599431998174,baseline,kmeans_k3
Cluster_03,vision,0.26668898378512745,0.26668898378512745,baseline,kmeans_k3
Cluster_02,self,0.26425740758943755,0.26425740758943755,baseline,kmeans_k3
Cluster_02,disgusted,-0.2608351669141915,0.2608351669141915,baseline,kmeans_k3
Cluster_02,attention,-0.2600743654744601,0.2600743654744601,baseline,kmeans_k3
Cluster_03,pattern,0.2553769465833131,0.2553769465833131,baseline,kmeans_k3
Cluster_01,surprised,0.25485851832040923,0.25485851832040923,baseline,kmeans_k3
Cluster_02,low,-0.24014239907632998,0.24014239907632998,baseline,kmeans_k3
Cluster_02,temperature,-0.23876905272207372,0.23876905272207372,baseline,kmeans_k3
Cluster_02,texture,-0.2376890060799404,0.2376890060799404,baseline,kmeans_k3
Cluster_03,face,-0.23429143162184848,0.23429143162184848,baseline,kmeans_k3
Cluster_02,sound,-0.22751280451193343,0.22751280451193343,baseline,kmeans_k3
Cluster_03,temperature,0.2259547839865194,0.2259547839865194,baseline,kmeans_k3
Cluster_01,small,-0.22398199375134661,0.22398199375134661,baseline,kmeans_k3
Cluster_01,self,-0.21977098903290035,0.21977098903290035,baseline,kmeans_k3
Cluster_02,pattern,-0.21781670328375394,0.21781670328375394,baseline,kmeans_k3
Cluster_01,benefit,-0.2152623590511659,0.2152623590511659,baseline,kmeans_k3
Cluster_01,landmark,-0.21364754064700095,0.21364754064700095,baseline,kmeans_k3
Cluster_02,angry,-0.2109963825016392,0.2109963825016392,baseline,kmeans_k3
Cluster_02,toward,-0.20936083623350618,0.20936083623350618,baseline,kmeans_k3
Cluster_02,needs,0.20512374168543854,0.20512374168543854,baseline,kmeans_k3
Cluster_01,arousal,0.20099023279761108,0.20099023279761108,baseline,kmeans_k3
Cluster_01,toward,0.19955337421928848,0.19955337421928848,baseline,kmeans_k3
Cluster_01,audition,0.19497007643324774,0.19497007643324774,baseline,kmeans_k3
Cluster_03,motion,-0.19383698372007885,0.19383698372007885,baseline,kmeans_k3
Cluster_03,upperlimb,0.19368931688957775,0.19368931688957775,baseline,kmeans_k3
Cluster_01,vision,-0.19238072549247978,0.19238072549247978,baseline,kmeans_k3
Cluster_02,color,-0.1920819005611498,0.1920819005611498,baseline,kmeans_k3
Cluster_03,pleasant,0.18730928408483383,0.18730928408483383,baseline,kmeans_k3
Cluster_03,complexity,0.18467157573890325,0.18467157573890325,baseline,kmeans_k3
Cluster_02,communication,0.18420467599164456,0.18420467599164456,baseline,kmeans_k3
Cluster_01,speech,-0.1809481595403449,0.1809481595403449,baseline,kmeans_k3
Cluster_02,high,-0.17704751801980512,0.17704751801980512,baseline,kmeans_k3
Cluster_02,number,0.1752235079690509,0.1752235079690509,baseline,kmeans_k3
Cluster_02,dark,-0.174861245944122,0.174861245944122,baseline,kmeans_k3
Cluster_02,landmark,0.1745979195063959,0.1745979195063959,baseline,kmeans_k3
Cluster_03,social,-0.17351543865454996,0.17351543865454996,baseline,kmeans_k3
Cluster_01,sound,0.17333743266411245,0.17333743266411245,baseline,kmeans_k3
Cluster_03,low,0.17316676540423226,0.17316676540423226,baseline,kmeans_k3
Cluster_03,speech,-0.17071343140478193,0.17071343140478193,baseline,kmeans_k3
Cluster_02,smell,-0.16994990522540865,0.16994990522540865,baseline,kmeans_k3
Cluster_01,motion,0.16721108913846633,0.16721108913846633,baseline,kmeans_k3
Cluster_01,practice,-0.1653177808346767,0.1653177808346767,baseline,kmeans_k3
Cluster_02,harm,-0.16513720058372824,0.16513720058372824,baseline,kmeans_k3
Cluster_02,scene,-0.16433452930241366,0.16433452930241366,baseline,kmeans_k3
Cluster_01,high,0.1617647232325581,0.1617647232325581,baseline,kmeans_k3
Cluster_03,surprised,-0.15628310100754297,0.15628310100754297,baseline,kmeans_k3
Cluster_03,communication,-0.15525643048504856,0.15525643048504856,baseline,kmeans_k3
Cluster_03,harm,-0.1500528561986027,0.1500528561986027,baseline,kmeans_k3
Cluster_02,audition,-0.15000794779891655,0.15000794779891655,baseline,kmeans_k3
Cluster_01,time,-0.14958522094066418,0.14958522094066418,baseline,kmeans_k3
Cluster_01,scene,-0.14912930668767013,0.14912930668767013,baseline,kmeans_k3
Cluster_02,complexity,-0.14279884579332502,0.14279884579332502,baseline,kmeans_k3
Cluster_02,social,-0.1413392343902256,0.1413392343902256,baseline,kmeans_k3
Cluster_01,bright,-0.1411234001385235,0.1411234001385235,baseline,kmeans_k3
Cluster_03,smell,0.13914555292942138,0.13914555292942138,baseline,kmeans_k3
Cluster_01,head,0.13844446941797828,0.13844446941797828,baseline,kmeans_k3
Cluster_03,benefit,-0.13694990098785192,0.13694990098785192,baseline,kmeans_k3
Cluster_01,number,-0.1351107339704909,0.1351107339704909,baseline,kmeans_k3
Cluster_01,lowerlimb,0.1350468771319925,0.1350468771319925,baseline,kmeans_k3
Cluster_02,body,0.13265454802758322,0.13265454802758322,baseline,kmeans_k3
Cluster_02,music,0.13198048220523817,0.13198048220523817,baseline,kmeans_k3
Cluster_03,happy,0.13058967105036548,0.13058967105036548,baseline,kmeans_k3
Cluster_03,fast,-0.13007873866037636,0.13007873866037636,baseline,kmeans_k3
Cluster_01,dark,0.12626871391677622,0.12626871391677622,baseline,kmeans_k3
Cluster_03,near,0.1235627465001363,0.1235627465001363,baseline,kmeans_k3
Cluster_03,angry,-0.12258961991074169,0.12258961991074169,baseline,kmeans_k3
Cluster_03,needs,0.12213833705220865,0.12213833705220865,baseline,kmeans_k3
Cluster_03,music,-0.12151233509880248,0.12151233509880248,baseline,kmeans_k3
Cluster_03,disgusted,-0.12031921456567152,0.12031921456567152,baseline,kmeans_k3
Cluster_03,unpleasant,-0.10879134666577148,0.10879134666577148,baseline,kmeans_k3
Cluster_02,upperlimb,-0.10868040449196009,0.10868040449196009,baseline,kmeans_k3
Cluster_02,short,0.10836576349178721,0.10836576349178721,baseline,kmeans_k3
Cluster_02,lowerlimb,-0.10478467073208586,0.10478467073208586,baseline,kmeans_k3
Cluster_02,long,0.10457230088843263,0.10457230088843263,baseline,kmeans_k3
Cluster_02,head,-0.10453855536418398,0.10453855536418398,baseline,kmeans_k3
Cluster_01,cognition,0.10111755041012113,0.10111755041012113,baseline,kmeans_k3
Cluster_01,fast,0.09988232194365279,0.09988232194365279,baseline,kmeans_k3
Cluster_02,large,0.0989832824712821,0.0989832824712821,baseline,kmeans_k3
Cluster_02,surprised,-0.09857541731286562,0.09857541731286562,baseline,kmeans_k3
