class,feature,coefficient,abs_coefficient,model,target
Cluster_01,unpleasant,1.4465139655961594,1.4465139655961594,lasso,kmeans_k3
Cluster_01,caused,1.3049709735219692,1.3049709735219692,lasso,kmeans_k3
Cluster_02,human,1.2576844913507228,1.2576844913507228,lasso,kmeans_k3
Cluster_03,human,-0.9682780840342637,0.9682780840342637,lasso,kmeans_k3
Cluster_02,duration,0.9271730630576304,0.9271730630576304,lasso,kmeans_k3
Cluster_03,duration,-0.908186386762581,0.908186386762581,lasso,kmeans_k3
Cluster_01,pain,0.8205864941348553,0.8205864941348553,lasso,kmeans_k3
Cluster_01,attention,0.8100180842688869,0.8100180842688869,lasso,kmeans_k3
Cluster_03,texture,0.7417156543431704,0.7417156543431704,lasso,kmeans_k3
Cluster_03,cognition,-0.7056598784850765,0.7056598784850765,lasso,kmeans_k3
Cluster_03,practice,0.693584424447693,0.693584424447693,lasso,kmeans_k3
Cluster_02,weight,-0.6577869468541602,0.6577869468541602,lasso,kmeans_k3
Cluster_03,bright,0.6271343805594977,0.6271343805594977,lasso,kmeans_k3
Cluster_02,pain,-0.5862484806452353,0.5862484806452353,lasso,kmeans_k3
Cluster_01,happy,-0.5719953020048107,0.5719953020048107,lasso,kmeans_k3
Cluster_03,weight,0.569402645093541,0.569402645093541,lasso,kmeans_k3
Cluster_01,consequential,0.5573860110426297,0.5573860110426297,lasso,kmeans_k3
Cluster_02,pattern,-0.48622591769315937,0.48622591769315937,lasso,kmeans_k3
Cluster_02,benefit,0.4746802573745386,0.4746802573745386,lasso,kmeans_k3
Cluster_02,sound,-0.4179204864840334,0.4179204864840334,lasso,kmeans_k3
Cluster_02,time,0.3673065732854351,0.3673065732854351,lasso,kmeans_k3
Cluster_02,number,0.33155200019497183,0.33155200019497183,lasso,kmeans_k3
Cluster_03,consequential,-0.3255448249838265,0.3255448249838265,lasso,kmeans_k3
Cluster_02,self,0.3244681305297829,0.3244681305297829,lasso,kmeans_k3
Cluster_03,drive,-0.30641717541084257,0.30641717541084257,lasso,kmeans_k3
Cluster_01,angry,0.2887582799601245,0.2887582799601245,lasso,kmeans_k3
Cluster_02,touch,-0.2734113110876579,0.2734113110876579,lasso,kmeans_k3
Cluster_01,needs,-0.27229024274080277,0.27229024274080277,lasso,kmeans_k3
Cluster_03,caused,-0.2570487869851782,0.2570487869851782,lasso,kmeans_k3
Cluster_02,disgusted,-0.23945126775238246,0.23945126775238246,lasso,kmeans_k3
Cluster_02,temperature,-0.23194607197089295,0.23194607197089295,lasso,kmeans_k3
Cluster_01,harm,0.21439985212119486,0.21439985212119486,lasso,kmeans_k3
Cluster_01,fearful,0.2097051116143226,0.2097051116143226,lasso,kmeans_k3
Cluster_03,scene,0.19950820993038731,0.19950820993038731,lasso,kmeans_k3
Cluster_01,sad,0.18607640275458306,0.18607640275458306,lasso,kmeans_k3
Cluster_01,short,0.15540617442853336,0.15540617442853336,lasso,kmeans_k3
Cluster_03,vision,0.15365265971454575,0.15365265971454575,lasso,kmeans_k3
Cluster_01,surprised,0.13753440678526113,0.13753440678526113,lasso,kmeans_k3
Cluster_02,color,-0.11658663680085031,0.11658663680085031,lasso,kmeans_k3
Cluster_02,sad,-0.10591282625651552,0.10591282625651552,lasso,kmeans_k3
Cluster_01,benefit,-0.09151142548549959,0.09151142548549959,lasso,kmeans_k3
Cluster_03,color,0.09135521795583028,0.09135521795583028,lasso,kmeans_k3
Cluster_02,dark,-0.09133646276723816,0.09133646276723816,lasso,kmeans_k3
Cluster_02,happy,0.08999206801461114,0.08999206801461114,lasso,kmeans_k3
Cluster_02,smell,-0.06673953803964813,0.06673953803964813,lasso,kmeans_k3
Cluster_01,audition,0.053324915300751556,0.053324915300751556,lasso,kmeans_k3
Cluster_03,touch,0.04587335930402297,0.04587335930402297,lasso,kmeans_k3
Cluster_03,short,-0.035558693891655065,0.035558693891655065,lasso,kmeans_k3
Cluster_01,disgusted,0.015093149728422833,0.015093149728422833,lasso,kmeans_k3
Cluster_03,small,0.014450342298511573,0.014450342298511573,lasso,kmeans_k3
Cluster_03,smell,0.009011662842455043,0.009011662842455043,lasso,kmeans_k3
