feature,is_selected,max_abs_coefficient,n_nonzero_class_coefficients
human,True,0.8640719425718039,2
caused,True,0.8274974671966538,2
duration,True,0.7532036618818493,2
pain,True,0.7516287039299709,2
practice,True,0.6704727777905812,1
unpleasant,True,0.5844543097664988,2
bright,True,0.5810089508832772,2
consequential,True,0.5571782798189749,2
happy,True,0.5512963192627717,2
time,True,0.5270214977583668,1
weight,True,0.5198254012999067,2
cognition,True,0.5050674909573056,2
attention,True,0.48091790544677754,2
texture,True,0.42371876595239427,2
angry,True,0.4079360223559154,1
sad,True,0.3936739127427921,2
benefit,True,0.376668613466819,2
drive,True,0.37643351472590303,2
pleasant,True,0.37195789289596276,1
needs,True,0.36449316090822437,2
touch,True,0.3447422415962655,2
fearful,True,0.34185499721136264,2
disgusted,True,0.3384809059983763,2
self,True,0.3215339562219507,1
harm,True,0.3186920105637783,1
sound,True,0.2958050675218673,2
scene,True,0.2870266595450926,1
surprised,True,0.2847550915482109,1
speech,True,0.27660107146768137,1
long,True,0.27135161000257757,1
short,True,0.2510462037090337,2
audition,True,0.2407563482194669,1
pattern,True,0.2305070363888475,2
shape,True,0.22852221259939218,2
color,True,0.22610617510243242,2
biomotion,True,0.22488187440436236,2
small,True,0.21029031958000025,1
number,True,0.1995022908574714,1
temperature,True,0.19003213757580104,2
smell,True,0.18839100678086487,2
low,True,0.17341999016243848,1
dark,True,0.16657699404959764,1
vision,True,0.16638164880070405,1
arousal,True,0.14750466287031408,2
face,True,0.13563126675033532,1
social,True,0.08924376872748359,1
high,True,0.07907783973965121,2
upperlimb,True,0.07677281809672128,1
motion,True,0.07317816169029258,1
toward,True,0.06726233588759874,2
landmark,True,0.025309243222084145,1
fast,True,0.020848707156510174,1
communication,True,0.005873274382024114,1
near,False,0.0,0
taste,False,0.0,0
complexity,False,0.0,0
body,False,0.0,0
large,False,0.0,0
loud,False,0.0,0
head,False,0.0,0
path,False,0.0,0
lowerlimb,False,0.0,0
slow,False,0.0,0
away,False,0.0,0
music,False,0.0,0
