feature,missing_count,missing_percent
complexity,101,18.878504672897193
practice,39,7.289719626168225
caused,39,7.289719626168225
drive,1,0.1869158878504673
vision,0,0.0
bright,0,0.0
dark,0,0.0
color,0,0.0
pattern,0,0.0
large,0,0.0
small,0,0.0
motion,0,0.0
biomotion,0,0.0
fast,0,0.0
slow,0,0.0
shape,0,0.0
face,0,0.0
body,0,0.0
touch,0,0.0
temperature,0,0.0
texture,0,0.0
weight,0,0.0
pain,0,0.0
audition,0,0.0
loud,0,0.0
low,0,0.0
high,0,0.0
sound,0,0.0
music,0,0.0
speech,0,0.0
taste,0,0.0
smell,0,0.0
head,0,0.0
upperlimb,0,0.0
lowerlimb,0,0.0
landmark,0,0.0
path,0,0.0
scene,0,0.0
near,0,0.0
toward,0,0.0
away,0,0.0
number,0,0.0
time,0,0.0
duration,0,0.0
long,0,0.0
short,0,0.0
consequential,0,0.0
social,0,0.0
human,0,0.0
communication,0,0.0
self,0,0.0
cognition,0,0.0
benefit,0,0.0
harm,0,0.0
pleasant,0,0.0
unpleasant,0,0.0
happy,0,0.0
sad,0,0.0
angry,0,0.0
disgusted,0,0.0
fearful,0,0.0
surprised,0,0.0
needs,0,0.0
attention,0,0.0
arousal,0,0.0
