entry_id,word,target_word_class,vision,bright,dark,color,pattern,large,small,motion,biomotion,fast,slow,shape,complexity,face,body,touch,temperature,texture,weight,pain,audition,loud,low,high,sound,music,speech,taste,smell,head,upperlimb,lowerlimb,practice,landmark,path,scene,near,toward,away,number,time,duration,long,short,caused,consequential,social,human,communication,self,cognition,benefit,harm,pleasant,unpleasant,happy,sad,angry,disgusted,fearful,surprised,drive,needs,attention,arousal
40,accident,noun,3.3,0.2,0.6667,0.2333,0.4667,1.1333,0.3,2.7,0.7,2.4,0.3667,0.8,1.9333,0.0333,0.2333,0.2,0.6,0.3667,0.5667,4.5333,2.3333,3.3333,0.2667,1.1,1.4333,0.1333,0.0333,0.0333,0.4,0.3333,1.1667,0.9,0.4667,0.9,2.0667,1.5333,0.3667,1.5333,0.9667,0.1,0.3333,1.7667,0.8,2.9,4.1,5.2,3.2,0.2,0.2667,0.1,0.5667,0.0667,5.2333,0.1333,5.2333,0.0667,4.1,3.3,2.4667,3.9667,4.5667,1.7667,0.0,4.6667,4.4
385,accordion,noun,5.5517,0.5862,0.931,0.7586,2.4138,1.6207,1.1379,3.1379,0.1724,1.3103,1.5172,4.7241,3.1034,0.069,0.1034,3.0,0.8966,1.8966,2.4138,0.1379,5.6552,4.3448,2.4138,3.2069,5.7241,5.931,0.0,0.0345,0.0345,0.6552,5.1034,0.4828,0.3793,0.1034,0.3103,1.0345,0.3103,0.4483,0.5862,0.2414,0.2414,0.9655,0.5172,1.0,0.3793,0.6207,1.5862,0.069,1.6207,0.0345,0.6552,1.3793,0.2414,3.0345,0.6897,2.2759,0.1724,0.1724,0.2069,0.1379,0.9655,1.069,0.069,3.6897,2.8966
114,activist,noun,4.6333,0.1667,0.2333,0.4333,0.5667,0.8333,0.4667,2.4333,5.5667,1.1667,1.0667,2.7333,1.7,6.0,5.9667,0.5333,0.4667,0.8333,1.2333,0.5333,4.0667,2.5667,0.4333,0.8,1.8333,0.3667,5.9,0.2,0.3667,3.1333,2.4667,1.2667,0.4333,0.2667,0.4333,1.1667,0.8,0.4333,0.1667,0.3667,0.8,0.5333,1.2333,0.5667,3.5,4.0333,3.2,5.9667,2.3333,1.1,1.6667,4.4333,1.8,1.9,1.2667,1.7333,0.7333,1.6333,0.9333,1.0333,1.6,4.4667,0.7667,4.7,4.2333
115,actor,noun,4.8276,0.5517,0.4828,0.5517,1.069,1.6207,0.6552,3.7931,5.5862,1.5517,1.0345,2.8276,2.8966,5.8966,5.8621,0.5862,0.3448,0.7931,1.4828,0.2414,3.7586,1.6897,1.0345,1.0,2.4828,1.5862,5.9655,0.2759,0.4483,3.2414,3.2069,1.7931,0.4828,0.2414,0.4828,1.931,0.6207,0.6897,0.6897,0.1379,0.4483,0.5862,0.6552,0.6552,0.8621,1.069,2.1034,5.7586,1.9655,0.8966,1.0,2.5862,0.7931,3.7241,0.6552,3.3793,1.9655,1.1034,0.7241,1.3793,2.3793,2.1034,0.6897,4.6207,3.1724
454,advantage,noun,0.76,0.0,0.0,0.0,0.0,0.8,0.44,0.32,0.08,0.08,0.12,0.0,0.24,0.16,0.2,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.32,0.2,0.08,0.36,0.32,0.4,0.32,0.36,0.36,0.76,0.64,1.0,1.56,1.76,3.36,3.6,2.6,1.36,0.36,1.68,2.36,5.2,1.4,3.24,0.56,3.44,0.48,1.04,0.56,0.56,2.12,3.72,1.44,1.64,3.48
494,advice,noun,0.1,0.0333,0.0667,0.0667,0.2,0.0333,0.1,0.1667,0.0667,0.0667,0.0667,0.1,0.1,0.3667,0.0667,0.0667,0.0667,0.1,0.1,0.5333,3.8667,0.6333,0.5333,0.3,1.3667,0.3,1.3667,0.1333,0.0333,3.1667,0.5,0.1,0.8333,0.0333,0.2333,0.7333,0.4333,0.4667,0.7,0.4333,0.8,0.9667,1.3667,1.4,3.4,3.8333,5.4,2.0667,4.8,1.9,3.8,5.0333,1.7333,3.0667,1.4,2.6,1.2667,1.1333,0.5667,1.0333,1.6333,4.5333,2.1,3.0333,3.2
1,aggressive,adjective,1.3,0.0667,0.3333,0.3333,0.0667,0.5,0.1,1.1333,2.2,1.4,0.1,0.2667,,1.6333,0.1333,0.0333,0.0667,0.3667,0.7333,1.8667,1.3,1.3667,0.2667,0.3667,1.3667,0.4667,2.1333,0.0667,0.1333,1.4,1.6333,0.4333,,0.0,0.6667,0.3333,0.8333,2.3,0.5667,0.0,1.1333,0.2333,0.3,0.4333,,3.6333,4.7333,3.0333,3.6,0.8333,3.6333,0.3667,4.3333,0.4,3.9667,0.1333,0.8667,5.3667,1.7333,2.2667,1.4333,2.6333,0.6,3.2333,4.8
77,agreement,noun,1.5,0.25,0.0714,0.3214,0.0714,0.4643,0.7143,0.25,0.0714,0.0714,0.0357,0.4286,0.4286,0.0,0.0,0.25,0.0714,0.7143,1.0,0.1429,0.9643,0.1071,0.0,0.0,0.1071,0.0,0.6071,0.0,0.0,1.75,0.7857,0.0,1.7143,0.1071,0.4643,0.4643,0.8214,0.1071,0.2143,0.5714,0.9643,1.7857,2.5,1.3214,4.6071,4.8571,5.4286,2.1071,3.9643,0.9643,3.6429,4.7143,1.3214,3.1786,0.3929,3.1786,0.4286,0.5357,0.2857,0.3214,0.8214,3.3571,2.0714,1.7857,2.75
154,airport,noun,5.5172,1.8276,0.6897,1.069,0.8621,5.5862,0.1379,3.7241,0.4483,2.069,0.6897,2.6207,4.1379,0.0345,0.069,0.3448,0.3103,0.7931,3.7931,0.5517,3.5862,3.7931,1.1379,1.8966,4.2414,0.3103,0.1379,0.0345,1.2069,0.2069,0.3448,0.6552,2.4138,5.8276,1.0345,5.5862,1.0345,1.2069,2.0345,0.931,1.3448,1.069,0.5862,0.6207,1.1034,1.8966,2.8276,0.6897,1.3793,0.4138,0.2759,3.069,1.3448,1.3448,1.6897,1.3448,0.7931,0.9655,0.3448,1.3448,0.6207,1.1724,2.4138,2.7931,2.931
272,alligator,noun,4.0333,0.4667,2.7667,4.5,4.6667,4.1,0.4333,3.8333,5.6667,2.9667,3.3,5.3,2.6,1.0,1.8667,2.6667,2.0,4.9667,4.3667,3.0333,1.2,2.0,1.5667,0.4,2.2333,0.1667,0.1,1.3667,1.4667,1.7,0.9667,1.3333,0.0333,1.1667,1.5667,3.9,0.2667,1.6667,1.1,0.1667,0.1667,0.3667,0.3,0.1333,0.3,2.0,0.1,1.2333,0.0667,0.0667,0.1333,0.3333,5.6667,0.4,3.3,0.0667,0.7,0.6,1.3,4.8667,3.2667,,0.1333,4.7,3.9333
438,ambulance,noun,5.0323,2.7742,0.1613,3.3871,2.0323,3.6129,0.2581,4.0968,0.7097,4.8387,0.4839,4.2903,2.3548,0.0968,0.129,0.9677,0.7097,1.7419,4.5161,4.1935,5.3871,5.4839,0.5161,5.0968,5.5484,1.3871,0.129,0.0,0.1935,0.2581,0.6774,0.5806,1.0968,0.1935,2.9032,2.2258,0.9677,1.3548,1.6129,0.5806,0.2258,0.7097,0.3871,1.6129,3.8387,3.0968,2.2903,0.4194,0.7097,0.0323,0.1613,5.0,0.7742,0.6452,2.3871,0.4194,2.8387,0.4194,0.3226,2.3871,2.6129,1.5161,2.6129,5.2581,3.9355
