feature_1,feature_2,correlation,abs_correlation
pleasant,happy,0.9367777773303074,0.9367777773303074
face,speech,0.9211220823634554,0.9211220823634554
audition,sound,0.890007916472427,0.890007916472427
loud,sound,0.8875544681394931,0.8875544681394931
audition,loud,0.8791610922352538,0.8791610922352538
motion,fast,0.8706673781422977,0.8706673781422977
biomotion,body,0.869311858267555,0.869311858267555
unpleasant,disgusted,0.8606225589595433,0.8606225589595433
unpleasant,angry,0.8544499612521664,0.8544499612521664
pattern,texture,0.8503931006307124,0.8503931006307124
unpleasant,sad,0.8495593168946318,0.8495593168946318
angry,disgusted,0.8437669772990437,0.8437669772990437
touch,texture,0.8402833648949635,0.8402833648949635
high,sound,0.8376288782564907,0.8376288782564907
low,sound,0.8344033234264563,0.8344033234264563
speech,human,0.8329705966384238,0.8329705966384238
pattern,shape,0.8318074537804232,0.8318074537804232
unpleasant,fearful,0.8294813586539955,0.8294813586539955
shape,weight,0.8294367546491952,0.8294367546491952
face,human,0.8260301670084352,0.8260301670084352
time,duration,0.8184751684282633,0.8184751684282633
face,body,0.8089829400972801,0.8089829400972801
shape,texture,0.7994964802857865,0.7994964802857865
harm,fearful,0.7991411666262447,0.7991411666262447
body,human,0.7968356309551266,0.7968356309551266
loud,low,0.7964253653529898,0.7964253653529898
audition,low,0.7935654631531629,0.7935654631531629
vision,shape,0.7934770206708823,0.7934770206708823
caused,consequential,0.7916336720568043,0.7916336720568043
color,pattern,0.7900704404111691,0.7900704404111691
loud,high,0.7886303093297158,0.7886303093297158
texture,weight,0.7878867071839543,0.7878867071839543
sad,angry,0.7878026211983135,0.7878026211983135
pain,unpleasant,0.7846035656541948,0.7846035656541948
practice,near,0.781291092121976,0.781291092121976
pain,fearful,0.7804227496654578,0.7804227496654578
audition,high,0.7726352363399123,0.7726352363399123
fast,path,0.7672687631087571,0.7672687631087571
taste,smell,0.7669697480064119,0.7669697480064119
surprised,attention,0.7666437032575071,0.7666437032575071
sad,disgusted,0.7625660612119177,0.7625660612119177
attention,arousal,0.7623744626273058,0.7623744626273058
sad,fearful,0.7560799841338749,0.7560799841338749
surprised,arousal,0.7536477178209818,0.7536477178209818
pattern,weight,0.7497643043414463,0.7497643043414463
body,speech,0.7314986520747194,0.7314986520747194
harm,unpleasant,0.7256041573098322,0.7256041573098322
pattern,touch,0.722871129521609,0.722871129521609
biomotion,face,0.7161996442665703,0.7161996442665703
pain,harm,0.7124768610337893,0.7124768610337893
