feature,mean_abs_correlation,median_abs_correlation,max_abs_correlation,n_corr_ge_0_70,n_corr_ge_0_80,n_corr_ge_0_90
pleasant,0.18158663301065814,0.12310569387486972,0.9367777773303074,1,1,1
happy,0.14967442670840836,0.07940497941899899,0.9367777773303074,1,1,1
speech,0.19164823284726012,0.14786650672493115,0.9211220823634554,3,2,1
face,0.1604696759227185,0.11847537364650032,0.9211220823634554,4,3,1
audition,0.2126614681384915,0.15535401169136848,0.890007916472427,4,2,0
sound,0.20262998968096418,0.12715893434699388,0.890007916472427,4,4,0
loud,0.21806307852003226,0.12990669283390363,0.8875544681394931,4,2,0
motion,0.2265496886270994,0.15735129332663397,0.8706673781422977,1,1,0
fast,0.21508724076977392,0.15584738025651274,0.8706673781422977,2,1,0
biomotion,0.15954141326873264,0.09503780082655669,0.869311858267555,3,1,0
body,0.15518568994954468,0.09412640694027868,0.869311858267555,4,2,0
unpleasant,0.2705459124678865,0.18983093266263296,0.8606225589595433,6,4,0
disgusted,0.2415163256588617,0.1752890343353854,0.8606225589595433,3,2,0
angry,0.28325887766222013,0.2559790317764232,0.8544499612521664,4,2,0
pattern,0.3258249704152608,0.31799212388198744,0.8503931006307124,5,2,0
texture,0.3241891851517921,0.32757723650504667,0.8503931006307124,4,2,0
sad,0.2684253527635937,0.24006889970174722,0.8495593168946318,4,1,0
touch,0.2902178940512823,0.25789599299866334,0.8402833648949635,2,1,0
high,0.16960248082318047,0.11490599870186852,0.8376288782564907,3,1,0
low,0.18674009488088086,0.12018760944157238,0.8344033234264563,3,1,0
human,0.21458844823188283,0.16113419973899828,0.8329705966384238,4,2,0
shape,0.32829882244230413,0.30323359109730874,0.8318074537804232,4,2,0
fearful,0.2653847964324308,0.1947080017684862,0.8294813586539955,5,1,0
weight,0.3137766888983343,0.2906626401124477,0.8294367546491952,3,1,0
duration,0.16000309704545723,0.10041415010903998,0.8184751684282633,1,1,0
time,0.13077404097055445,0.0865292629553099,0.8184751684282633,1,1,0
harm,0.2349574659343309,0.15966168187560925,0.7991411666262447,3,0,0
vision,0.3247855155652918,0.33206992888568,0.7934770206708823,1,0,0
consequential,0.3228674628578605,0.2999470331572097,0.7916336720568043,1,0,0
caused,0.3165511434096826,0.31395966045941104,0.7916336720568043,1,0,0
color,0.2838607471714263,0.23348054354518627,0.7900704404111691,1,0,0
pain,0.20808975637998156,0.1353421509596059,0.7846035656541948,3,0,0
practice,0.261416129414369,0.2535115873726002,0.781291092121976,1,0,0
near,0.23439337322777615,0.19167068408493504,0.781291092121976,1,0,0
path,0.1739875304202746,0.12485887500426004,0.7672687631087571,1,0,0
taste,0.2388952038426453,0.21000391556749498,0.7669697480064119,1,0,0
smell,0.22612624234694756,0.20248612072100888,0.7669697480064119,1,0,0
surprised,0.28005616546212997,0.24958980641295248,0.7666437032575071,2,0,0
attention,0.26400649169798585,0.22547118363075203,0.7666437032575071,2,0,0
arousal,0.3004425674235712,0.27491741383074575,0.7623744626273058,2,0,0
scene,0.16571444586271358,0.15332060503813416,0.712254119480764,1,0,0
landmark,0.12453891377616802,0.10282909638292327,0.712254119480764,1,0,0
away,0.16276771398733464,0.12669660003176358,0.6960181634733418,0,0,0
social,0.25582647824448357,0.23912474926800406,0.6897060849833296,0,0,0
communication,0.21762827699894632,0.18712289312829844,0.6897060849833296,0,0,0
cognition,0.2938625850337597,0.2815417233408575,0.6849385374304645,0,0,0
music,0.15719862829575995,0.11955142298928317,0.67782771819278,0,0,0
small,0.26172632766359605,0.2359013428849338,0.6636340968854333,0,0,0
drive,0.277862735385615,0.21530689562501265,0.659469150666536,0,0,0
complexity,0.21878752441076882,0.1834907301431164,0.6471110132431204,0,0,0
large,0.1832991062524177,0.1454727182873951,0.6471110132431204,0,0,0
bright,0.22672487112322956,0.19511568379915836,0.6425597035727916,0,0,0
needs,0.144319088367043,0.09581983313916366,0.5911089103286487,0,0,0
short,0.2112717908848336,0.178775441914805,0.588410860832092,0,0,0
benefit,0.17128244937685413,0.1276807786406867,0.586983472595097,0,0,0
slow,0.1685226157365834,0.16434096104198131,0.5828662572737229,0,0,0
self,0.19293948016516282,0.1779280694148488,0.5648307136287007,0,0,0
upperlimb,0.1793885041176808,0.16476273904524324,0.5578263756083923,0,0,0
temperature,0.22281199353838838,0.18449436613563144,0.5357649057872222,0,0,0
lowerlimb,0.13560723857368065,0.10024597120281666,0.5329632834731391,0,0,0
toward,0.18511228213742498,0.14946231728775886,0.5112390540693816,0,0,0
long,0.20644929594162492,0.15932763453065385,0.50480141239259,0,0,0
head,0.13393029914961918,0.10563258254495973,0.4911234246459519,0,0,0
dark,0.1456429765893899,0.1105354541762727,0.45072756562397887,0,0,0
number,0.08078235426603947,0.06804251385734791,0.22247479423688088,0,0,0
