feature_1,feature_2,correlation,abs_correlation
pleasant,happy,0.9367777773303074,0.9367777773303074
face,speech,0.9211220823634554,0.9211220823634554
audition,sound,0.890007916472427,0.890007916472427
loud,sound,0.8875544681394931,0.8875544681394931
audition,loud,0.8791610922352538,0.8791610922352538
motion,fast,0.8706673781422977,0.8706673781422977
biomotion,body,0.869311858267555,0.869311858267555
unpleasant,disgusted,0.8606225589595433,0.8606225589595433
unpleasant,angry,0.8544499612521664,0.8544499612521664
pattern,texture,0.8503931006307124,0.8503931006307124
unpleasant,sad,0.8495593168946318,0.8495593168946318
angry,disgusted,0.8437669772990437,0.8437669772990437
touch,texture,0.8402833648949635,0.8402833648949635
high,sound,0.8376288782564907,0.8376288782564907
low,sound,0.8344033234264563,0.8344033234264563
speech,human,0.8329705966384238,0.8329705966384238
pattern,shape,0.8318074537804232,0.8318074537804232
unpleasant,fearful,0.8294813586539955,0.8294813586539955
shape,weight,0.8294367546491952,0.8294367546491952
face,human,0.8260301670084352,0.8260301670084352
time,duration,0.8184751684282633,0.8184751684282633
face,body,0.8089829400972801,0.8089829400972801
