model,class_raw,class_display,fold,C,l1_ratio,macro_f1_cv
Elastic Net,adjective,Property,1,0.001,0.1,0.29677419354838713
Elastic Net,adjective,Property,1,0.001,0.3,0.29677419354838713
Elastic Net,adjective,Property,1,0.001,0.5,0.29677419354838713
Elastic Net,adjective,Property,1,0.001,0.7,0.29677419354838713
Elastic Net,adjective,Property,1,0.001,0.9,0.29677419354838713
Elastic Net,adjective,Property,1,0.003593813663804626,0.1,0.29677419354838713
Elastic Net,adjective,Property,1,0.003593813663804626,0.3,0.29677419354838713
Elastic Net,adjective,Property,1,0.003593813663804626,0.5,0.29677419354838713
Elastic Net,adjective,Property,1,0.003593813663804626,0.7,0.29677419354838713
Elastic Net,adjective,Property,1,0.003593813663804626,0.9,0.29677419354838713
Elastic Net,adjective,Property,1,0.01291549665014884,0.1,0.45647773279352233
Elastic Net,adjective,Property,1,0.01291549665014884,0.3,0.3593073593073593
Elastic Net,adjective,Property,1,0.01291549665014884,0.5,0.29677419354838713
Elastic Net,adjective,Property,1,0.01291549665014884,0.7,0.29677419354838713
Elastic Net,adjective,Property,1,0.01291549665014884,0.9,0.29677419354838713
Elastic Net,adjective,Property,1,0.046415888336127795,0.1,0.5853206147323794
Elastic Net,adjective,Property,1,0.046415888336127795,0.3,0.5853206147323794
Elastic Net,adjective,Property,1,0.046415888336127795,0.5,0.5853206147323794
Elastic Net,adjective,Property,1,0.046415888336127795,0.7,0.5587248322147651
Elastic Net,adjective,Property,1,0.046415888336127795,0.9,0.49511195206559444
Elastic Net,adjective,Property,1,0.1668100537200059,0.1,0.6948104527051896
Elastic Net,adjective,Property,1,0.1668100537200059,0.3,0.6948104527051896
Elastic Net,adjective,Property,1,0.1668100537200059,0.5,0.7046783625730993
Elastic Net,adjective,Property,1,0.1668100537200059,0.7,0.7046783625730993
Elastic Net,adjective,Property,1,0.1668100537200059,0.9,0.6864283864283864
Elastic Net,adjective,Property,1,0.5994842503189409,0.1,0.7145539906103288
Elastic Net,adjective,Property,1,0.5994842503189409,0.3,0.7145539906103288
Elastic Net,adjective,Property,1,0.5994842503189409,0.5,0.7145539906103288
Elastic Net,adjective,Property,1,0.5994842503189409,0.7,0.7059961315280464
Elastic Net,adjective,Property,1,0.5994842503189409,0.9,0.7145539906103288
Elastic Net,adjective,Property,1,2.1544346900318843,0.1,0.7713303245218138
Elastic Net,adjective,Property,1,2.1544346900318843,0.3,0.7713303245218138
Elastic Net,adjective,Property,1,2.1544346900318843,0.5,0.7145539906103288
Elastic Net,adjective,Property,1,2.1544346900318843,0.7,0.7145539906103288
Elastic Net,adjective,Property,1,2.1544346900318843,0.9,0.7145539906103288
Elastic Net,adjective,Property,1,7.742636826811277,0.1,0.7713303245218138
Elastic Net,adjective,Property,1,7.742636826811277,0.3,0.7713303245218138
Elastic Net,adjective,Property,1,7.742636826811277,0.5,0.7713303245218138
Elastic Net,adjective,Property,1,7.742636826811277,0.7,0.7713303245218138
Elastic Net,adjective,Property,1,7.742636826811277,0.9,0.6961837217156366
Elastic Net,adjective,Property,1,27.825594022071257,0.1,0.7859154929577464
Elastic Net,adjective,Property,1,27.825594022071257,0.3,0.7859154929577464
Elastic Net,adjective,Property,1,27.825594022071257,0.5,0.7713303245218138
Elastic Net,adjective,Property,1,27.825594022071257,0.7,0.7713303245218138
Elastic Net,adjective,Property,1,27.825594022071257,0.9,0.7713303245218138
Elastic Net,adjective,Property,1,100.0,0.1,0.7859154929577464
Elastic Net,adjective,Property,1,100.0,0.3,0.7859154929577464
Elastic Net,adjective,Property,1,100.0,0.5,0.7859154929577464
Elastic Net,adjective,Property,1,100.0,0.7,0.7859154929577464
Elastic Net,adjective,Property,1,100.0,0.9,0.7713303245218138
Elastic Net,adjective,Property,2,0.001,0.1,0.29914529914529914
Elastic Net,adjective,Property,2,0.001,0.3,0.29914529914529914
Elastic Net,adjective,Property,2,0.001,0.5,0.29914529914529914
Elastic Net,adjective,Property,2,0.001,0.7,0.29914529914529914
Elastic Net,adjective,Property,2,0.001,0.9,0.29914529914529914
Elastic Net,adjective,Property,2,0.003593813663804626,0.1,0.29914529914529914
Elastic Net,adjective,Property,2,0.003593813663804626,0.3,0.29914529914529914
Elastic Net,adjective,Property,2,0.003593813663804626,0.5,0.29914529914529914
Elastic Net,adjective,Property,2,0.003593813663804626,0.7,0.29914529914529914
Elastic Net,adjective,Property,2,0.003593813663804626,0.9,0.29914529914529914
Elastic Net,adjective,Property,2,0.01291549665014884,0.1,0.5611111111111111
Elastic Net,adjective,Property,2,0.01291549665014884,0.3,0.29914529914529914
Elastic Net,adjective,Property,2,0.01291549665014884,0.5,0.29914529914529914
Elastic Net,adjective,Property,2,0.01291549665014884,0.7,0.29914529914529914
Elastic Net,adjective,Property,2,0.01291549665014884,0.9,0.29914529914529914
Elastic Net,adjective,Property,2,0.046415888336127795,0.1,0.7586367880485527
Elastic Net,adjective,Property,2,0.046415888336127795,0.3,0.708994708994709
Elastic Net,adjective,Property,2,0.046415888336127795,0.5,0.5877089090669825
Elastic Net,adjective,Property,2,0.046415888336127795,0.7,0.5877089090669825
Elastic Net,adjective,Property,2,0.046415888336127795,0.9,0.5312729948491538
Elastic Net,adjective,Property,2,0.1668100537200059,0.1,0.8620857699805068
Elastic Net,adjective,Property,2,0.1668100537200059,0.3,0.8403575989782887
Elastic Net,adjective,Property,2,0.1668100537200059,0.5,0.8403575989782887
Elastic Net,adjective,Property,2,0.1668100537200059,0.7,0.7825976661593099
Elastic Net,adjective,Property,2,0.1668100537200059,0.9,0.7825976661593099
Elastic Net,adjective,Property,2,0.5994842503189409,0.1,0.8595246982704988
Elastic Net,adjective,Property,2,0.5994842503189409,0.3,0.8821573780802839
Elastic Net,adjective,Property,2,0.5994842503189409,0.5,0.9198083862137613
Elastic Net,adjective,Property,2,0.5994842503189409,0.7,0.8980177360459051
Elastic Net,adjective,Property,2,0.5994842503189409,0.9,0.8603988603988603
