feature,selected,n_active_classes,max_abs_coefficient,sum_abs_coefficient,model
practice,True,3,4.799638540060006,7.937455245535421,LASSO
human,True,3,4.443923161900163,6.221402485064085,LASSO
short,True,3,3.422127436480048,4.674705801827635,LASSO
near,True,2,3.0293380665318894,4.077096793314196,LASSO
drive,True,3,2.406219545306396,3.199459435297157,LASSO
surprised,True,2,2.1462223320255256,3.766635801860142,LASSO
texture,True,3,2.0661972184204016,3.889879346712594,LASSO
long,True,3,1.9498196270548944,2.238604323663851,LASSO
motion,True,2,1.9497544509798823,3.4094854304219626,LASSO
duration,True,2,1.7362147871371785,2.52101680439533,LASSO
self,True,3,1.646645028372084,1.866305538126668,LASSO
benefit,True,3,1.6094266972440283,1.8080396663554892,LASSO
face,True,3,1.5511704519014669,1.9699377697162666,LASSO
arousal,True,3,1.4881748727495123,1.9778126809406447,LASSO
caused,True,3,1.4528566012158073,2.107279297896863,LASSO
complexity,True,2,1.4265692339490494,2.0091917996432587,LASSO
head,True,3,1.4091453286818492,2.782166675324136,LASSO
biomotion,True,3,1.3866959379360384,2.1818076481166315,LASSO
path,True,3,1.3746772349639342,2.3756250720042877,LASSO
pain,True,3,1.2490790202585544,2.0851152102360624,LASSO
color,True,2,1.2457307670168265,1.4897575308048965,LASSO
body,True,3,1.239827178944601,1.6438155504210177,LASSO
upperlimb,True,2,1.2036101987418508,2.293610746015872,LASSO
vision,True,3,1.166037313016025,2.2106974381307163,LASSO
music,True,2,1.1444284083296814,1.4892613389980576,LASSO
speech,True,3,1.1156910912835156,2.036324861020248,LASSO
toward,True,3,0.9748795171135808,1.707452838175417,LASSO
time,True,3,0.9414444897033544,1.483828277638152,LASSO
loud,True,3,0.9206262554437368,1.38315703228774,LASSO
consequential,True,3,0.8455860762304,1.4239579634594008,LASSO
happy,True,3,0.8221907987062677,1.3060762029568993,LASSO
large,True,3,0.7824700487505455,0.8854450755662572,LASSO
pattern,True,2,0.7779141097239657,1.0416920899911004,LASSO
communication,True,2,0.7645622338230265,1.3766550443472672,LASSO
shape,True,3,0.7542805755960159,0.7999609560836877,LASSO
landmark,True,2,0.7458308509907071,1.2386683167146346,LASSO
low,True,3,0.700154122815812,1.032872661667528,LASSO
attention,True,3,0.6483642154320112,0.929649288810213,LASSO
angry,True,3,0.6390897890944107,0.8903009581520257,LASSO
harm,True,3,0.6269591892482372,1.176874043627377,LASSO
scene,True,2,0.6254105156669303,0.9559541721777614,LASSO
number,True,3,0.6025681943962773,1.232598195135485,LASSO
dark,True,3,0.4859602256876794,0.7123633534623953,LASSO
smell,True,3,0.466100448334564,0.6278269369531463,LASSO
taste,True,3,0.4494204435906981,0.7308301503305193,LASSO
slow,True,3,0.4422490447074114,0.6697351473284388,LASSO
lowerlimb,True,2,0.4414669828008388,0.6436265466234076,LASSO
fearful,True,3,0.4266414117551754,0.6833042810932785,LASSO
unpleasant,True,3,0.4203175855914938,0.6023046343400554,LASSO
audition,True,3,0.3871200201821332,0.4538390113143669,LASSO
social,True,3,0.3870937724667943,0.5514386727732083,LASSO
disgusted,True,2,0.3525169139996083,0.5656575596481378,LASSO
away,True,2,0.3386392084782548,0.6242210297808708,LASSO
fast,True,3,0.3380322628169148,0.46791926018980357,LASSO
high,True,3,0.3205559004915095,0.41437220865240565,LASSO
pleasant,True,3,0.308496687635919,0.3758064846976801,LASSO
touch,True,3,0.2202725497164138,0.3024298775024795,LASSO
bright,True,2,0.1837991510586452,0.2529602501326982,LASSO
weight,True,2,0.1465444622114733,0.2464656738522168,LASSO
temperature,True,2,0.1360448378713616,0.1736864797335598,LASSO
