feature,Thing,Action,Property
practice,-4.799638540060006,2.818705847000271,0.3191108584751445
human,-1.6259021643904372,4.443923161900163,-0.1515771587734845
short,0.1979346379758799,1.054643727371707,-3.422127436480048
near,1.0477587267823067,0.0,-3.0293380665318894
drive,2.406219545306396,-0.0323194362503002,-0.7609204537404607
surprised,1.620413469834616,0.0,-2.1462223320255256
texture,1.8048470464359372,0.0188350818562549,-2.0661972184204016
long,0.1453001660097216,0.143484530599235,-1.9498196270548944
motion,1.4597309794420803,0.0,-1.9497544509798823
duration,-1.7362147871371785,0.0,0.7848020172581514
self,-1.646645028372084,0.1115525285771109,0.1081079811774733
benefit,1.6094266972440283,-0.0537615767154606,-0.1448513923960002
face,0.4012829822102641,-1.5511704519014669,0.0174843356045356
arousal,-1.4881748727495123,0.3477899212533429,0.1418478869377895
caused,-0.0912046450950057,1.4528566012158073,-0.56321805158605
complexity,-0.582622565694209,0.0,1.4265692339490494
head,1.2608585325296762,0.1121628141126104,-1.4091453286818492
biomotion,0.2779832518153521,0.5171284583652411,-1.3866959379360384
path,-0.8802125464747363,1.3746772349639342,0.1207352905656172
pain,-0.8216728690354752,-0.0143633209420326,1.2490790202585544
color,1.2457307670168265,0.0,-0.24402676378807
body,-1.239827178944601,0.1054677843275878,0.2985205871488291
upperlimb,1.2036101987418508,0.0,-1.090000547274021
vision,-0.0600056954433302,-0.9846544296713612,1.166037313016025
music,-0.3448329306683762,0.0,1.1444284083296814
speech,-0.0897739324587263,-1.1156910912835156,0.8308598372780059
toward,-0.6564537732112126,-0.0761195478506237,0.9748795171135808
time,0.9414444897033544,-0.2267572904738379,-0.3156264974609597
loud,0.3681985926774936,0.0943321841665096,-0.9206262554437368
consequential,-0.1518467363097497,0.426525150919251,-0.8455860762304
happy,-0.3592489430797022,-0.1246364611709294,0.8221907987062677
large,0.050116784869392,0.0528582419463197,-0.7824700487505455
pattern,-0.2637779802671348,0.7779141097239657,0.0
communication,-0.6120928105242407,0.0,0.7645622338230265
shape,0.7542805755960159,-0.01081428663211,-0.0348660938555617
landmark,0.0,0.4928374657239276,-0.7458308509907071
low,-0.195644226619135,-0.1370743122325809,0.700154122815812
attention,-0.6483642154320112,0.1511064662618074,0.1301786071163944
angry,-0.6390897890944107,0.0305569305654123,0.2206542384922027
harm,0.6269591892482372,-0.455516140471357,0.0943987139077827
scene,0.6254105156669303,0.0,-0.330543656510831
number,0.5534589981214828,-0.6025681943962773,0.076571002617725
dark,0.0623898228452035,0.1640133049295124,-0.4859602256876794
smell,0.466100448334564,-0.0027881724523438,-0.1589383161662385
taste,-0.4494204435906981,0.0060751253093508,0.2753345814304704
slow,-0.4422490447074114,0.2168679754264204,0.010618127194607
lowerlimb,0.4414669828008388,-0.2021595638225688,0.0
fearful,-0.1955601913689312,-0.0611026779691718,0.4266414117551754
unpleasant,-0.4203175855914938,0.085998542816403,0.0959885059321587
audition,0.3871200201821332,-0.0141083003787917,-0.052610690753442
social,0.3870937724667943,-0.1061306244773286,-0.0582142758290855
disgusted,0.3525169139996083,0.0,-0.2131406456485295
away,0.0,-0.3386392084782548,0.285581821302616
fast,0.0740340025254022,0.0558529948474866,-0.3380322628169148
high,0.3205559004915095,-0.0101510954795099,-0.0836652126813863
pleasant,-0.0534081545944005,-0.0139016424673606,0.308496687635919
touch,-0.2202725497164138,0.0794925129193169,0.0026648148667488
bright,0.1837991510586452,-0.069161099074053,0.0
weight,0.1465444622114733,0.0,-0.0999212116407435
temperature,0.1360448378713616,-0.0376416418621982,0.0
small,-0.0526381562443938,0.0,-0.1336624360422377
sound,0.0,-0.1170130875429784,0.0803637022263901
sad,0.0805379948938965,-0.1045715801158024,0.0125447744746751
cognition,-0.0246339267732696,0.0,0.0385918466725964
needs,0.0235253059900861,0.0,0.0
