feature,selected_lasso,selected_elastic_net,selection_status
angry,True,True,shared
arousal,True,True,shared
attention,True,True,shared
audition,True,True,shared
away,True,True,shared
benefit,True,True,shared
biomotion,True,True,shared
body,True,True,shared
bright,True,True,shared
caused,True,True,shared
cognition,True,True,shared
color,True,True,shared
communication,True,True,shared
complexity,True,True,shared
consequential,True,True,shared
dark,True,True,shared
disgusted,True,True,shared
drive,True,True,shared
duration,True,True,shared
face,True,True,shared
fast,True,True,shared
fearful,True,True,shared
happy,True,True,shared
harm,True,True,shared
head,True,True,shared
high,True,True,shared
human,True,True,shared
landmark,True,True,shared
large,True,True,shared
long,True,True,shared
loud,True,True,shared
low,True,True,shared
lowerlimb,True,True,shared
motion,True,True,shared
music,True,True,shared
near,True,True,shared
needs,True,True,shared
number,True,True,shared
pain,True,True,shared
path,True,True,shared
pattern,True,True,shared
pleasant,True,True,shared
practice,True,True,shared
sad,True,True,shared
scene,True,True,shared
self,True,True,shared
shape,True,True,shared
short,True,True,shared
slow,True,True,shared
small,True,True,shared
smell,True,True,shared
social,True,True,shared
sound,True,True,shared
speech,True,True,shared
surprised,True,True,shared
taste,True,True,shared
temperature,True,True,shared
texture,True,True,shared
time,True,True,shared
touch,True,True,shared
toward,True,True,shared
unpleasant,True,True,shared
upperlimb,True,True,shared
vision,True,True,shared
weight,True,True,shared
