feature,mean_abs_correlation,max_abs_correlation
audition_x_music,0.15267202065201038,0.9949192341412302
sound_x_music,0.15263985258300908,0.9949192341412302
body_x_speech,0.16866301440753065,0.992351365663827
biomotion_x_speech,0.172127279042514,0.992351365663827
music_x_happy,0.1536746206763393,0.9901602457592978
music_x_pleasant,0.1529784503543658,0.9901602457592978
face_sq,0.1650114312621683,0.9895732406711415
face_x_human,0.17129020045979992,0.9895732406711415
face_x_speech,0.16938438958700897,0.9895263446641276
biomotion_x_face,0.1688501098576532,0.9892884090111116
face_x_body,0.16574460926432805,0.9892884090111116
high_x_pleasant,0.16921048451887785,0.9886811190962081
high_x_happy,0.16959016923121825,0.9886811190962081
body_x_human,0.17875537277697193,0.9879677769141748
biomotion_x_human,0.1836924891944661,0.9879677769141748
color,0.208645795250215,0.9876097677369076
vision_x_color,0.2142849837284563,0.9876097677369076
face_x_lowerlimb,0.1573663685101535,0.9868710979481986
speech_x_lowerlimb,0.16025984552295044,0.9868710979481986
happy_x_surprised,0.12952843238740724,0.9866112539225792
pleasant_x_surprised,0.13425391326581765,0.9866112539225792
speech_x_human,0.17735275145401835,0.9861331327199263
low_x_pleasant,0.17513035583103442,0.9860206961741331
low_x_happy,0.17613737637871574,0.9860206961741331
audition_x_low,0.18214360956102457,0.9858545815855302
low_x_sound,0.18062091388382065,0.9858545815855302
speech_sq,0.17532754755866028,0.985353664340924
biomotion_x_body,0.18232576464016786,0.9853314816615296
body_sq,0.17839762724417774,0.9853314816615296
social_x_pleasant,0.16324012079103833,0.9849992835802347
social_x_happy,0.15970144909603767,0.9849992835802347
taste,0.17382802584159238,0.984911703465742
vision_x_taste,0.173886876831853,0.984911703465742
high_x_sound,0.1699850895924651,0.9847468207165244
audition_x_high,0.17137218907894095,0.9847468207165244
music_sq,0.14289271088038047,0.9846184162487597
loud_x_happy,0.18783474230061176,0.9846106552212707
loud_x_pleasant,0.19298954746141228,0.9846106552212707
loud_x_music,0.1534112817796256,0.9844973673554063
loud_x_sound,0.208491338802031,0.9837229354571168
audition_x_loud,0.21281025271458745,0.9837229354571168
taste_sq,0.1693683408644376,0.9831205491459674
vision_x_texture,0.23767555153142,0.9830621218897417
texture,0.23448763885610643,0.9830621218897417
small_x_weight,0.17871744577621562,0.9828760337906504
small_sq,0.16798864085091414,0.9828760337906504
happy_x_arousal,0.14735811766703855,0.982685376996142
pleasant_x_arousal,0.1531630200576062,0.982685376996142
small_x_taste,0.16868199654913102,0.9825296877293288
weight_x_taste,0.17138398091694107,0.9825296877293288
sound_x_happy,0.1879440912657873,0.982127770232076
sound_x_pleasant,0.19011088396646375,0.982127770232076
happy_sq,0.1313088575297988,0.9820715453836965
pleasant_x_happy,0.13862306969733218,0.9820715453836965
audition_x_pleasant,0.19191856577646424,0.9812584265287709
audition_x_happy,0.18775372987230796,0.9812584265287709
face_x_pleasant,0.16089047320679586,0.9804350485022594
face_x_happy,0.159631924537775,0.9804350485022594
vision_x_shape,0.23974331681352978,0.9803225561053753
shape,0.2354554746284339,0.9803225561053753
cognition_x_happy,0.1530088120063211,0.980085774680199
cognition_x_pleasant,0.1557253585391124,0.980085774680199
landmark_x_happy,0.11868378088625325,0.9797816380200873
landmark_x_pleasant,0.11972038036973148,0.9797816380200873
speech_x_pleasant,0.17336852205277498,0.9796261051434776
speech_x_happy,0.17231941066709558,0.9796261051434776
happy_x_drive,0.1535572648328479,0.9794673828124763
pleasant_x_drive,0.1576642810727235,0.9794673828124763
caused_x_pleasant,0.15164221136014194,0.9794306277143559
caused_x_happy,0.15195023251171702,0.9794306277143559
biomotion_x_number,0.11495689187004211,0.9793251722640685
body_x_number,0.11437637770024757,0.9793251722640685
pattern,0.23532048907619751,0.9791735690237494
vision_x_pattern,0.2408906062134254,0.9791735690237494
loud_sq,0.21566367759714583,0.9791611199495261
music_x_arousal,0.15481946909660185,0.9791506282819726
music_x_attention,0.1567713844034576,0.9791506282819726
taste_x_pleasant,0.16764734146623242,0.9786342438807344
taste_x_happy,0.15817453632536682,0.9786342438807344
sound_sq,0.19709860997385728,0.9781843950241689
audition_x_sound,0.20096310810181367,0.9781843950241689
smell,0.16550040767460233,0.9781429051383903
vision_x_smell,0.17294735652438342,0.9781429051383903
music,0.15478598113186198,0.9781146112385882
vision_x_music,0.15838175086761472,0.9781146112385882
body_x_upperlimb,0.16975495085381873,0.97803835227546
biomotion_x_upperlimb,0.1749914157546778,0.97803835227546
smell_x_happy,0.15050238169611516,0.9780003117978744
smell_x_pleasant,0.16392148318400204,0.9780003117978744
body_x_lowerlimb,0.14562758980379906,0.977990307439598
biomotion_x_lowerlimb,0.1500034883687463,0.977990307439598
vision_x_small,0.19671232457162374,0.977948216351073
small,0.1893053524362808,0.977948216351073
bright_x_happy,0.1597645978714857,0.9775673244691583
bright_x_pleasant,0.17291228937656247,0.9775673244691583
vision_sq,0.234091917448628,0.9773555998247818
vision,0.23549541757594916,0.9773555998247818
loud_x_high,0.17609157672088868,0.9766861205103368
fast_x_pleasant,0.19663684411678015,0.9766080023430702
fast_x_happy,0.1872610187062306,0.9766080023430702
time_x_pleasant,0.1268284185786561,0.976550081718833
time_x_happy,0.13070071414181933,0.976550081718833
landmark_x_scene,0.11286665291705976,0.9764290470172633
landmark_sq,0.1073446123734148,0.9764290470172633
loud_x_low,0.18952545698174442,0.9757378773280166
biomotion_x_pleasant,0.17754930205110633,0.975729567680093
biomotion_x_happy,0.1761538022090914,0.975729567680093
motion_x_happy,0.2003788262594093,0.9754576789920121
motion_x_pleasant,0.21027265425836222,0.9754576789920121
communication_x_pleasant,0.16085553007721493,0.975218347802507
communication_x_happy,0.1591490572579661,0.975218347802507
happy_x_attention,0.1613564985151223,0.9750267562228849
pleasant_x_attention,0.16959330528384683,0.9750267562228849
vision_x_weight,0.23253831060149827,0.9748846190995921
weight,0.22459320371801317,0.9748846190995921
large_x_pleasant,0.17071060198077356,0.9748374846423435
large_x_happy,0.16713865377008155,0.9748374846423435
high,0.18046345414826465,0.9745120148183893
human_x_pleasant,0.18816330919229016,0.9744018321129251
human_x_happy,0.1857263262904526,0.9744018321129251
biomotion,0.19139416166646067,0.974229907689154
biomotion_sq,0.1796718334491946,0.974229907689154
texture_x_audition,0.1895989239815775,0.9739309334110451
texture_x_sound,0.1942873098853224,0.9739309334110451
complexity_x_pleasant,0.19451065390379774,0.9736476894776886
complexity_x_happy,0.18646148968277568,0.9736476894776886
consequential_x_pleasant,0.15556369775628795,0.9736354118213458
consequential_x_happy,0.1533395481753418,0.9736354118213458
shape_x_music,0.1518659238126841,0.9736016535351724
pattern_x_music,0.1525651427765473,0.9736016535351724
face,0.1767587616313788,0.9734331212546451
short_x_happy,0.14205260190440602,0.9733616519829739
short_x_pleasant,0.1438378684834869,0.9733616519829739
temperature_x_pleasant,0.18122712848142414,0.9730299722684582
temperature_x_happy,0.17216777415720327,0.9730299722684582
duration_x_pleasant,0.13809707035126778,0.9729696354677305
duration_x_happy,0.14079586533451155,0.9729696354677305
body_x_pleasant,0.17975928193241542,0.9728184433954544
body_x_happy,0.17757676299717537,0.9728184433954544
taste_x_smell,0.16907541604948736,0.9727745575829015
number_x_pleasant,0.1072837224278813,0.972682279228994
number_x_happy,0.09331312770214231,0.972682279228994
face_x_fearful,0.17105625339275432,0.9726774650739335
speech_x_fearful,0.18166109506114922,0.9726774650739335
bright_x_loud,0.19751618720974143,0.9725374810062
bright_x_audition,0.1980400013009297,0.9725374810062
speech_x_disgusted,0.17132363388914507,0.9723867378276734
face_x_disgusted,0.15646345136286818,0.9723867378276734
face_x_pain,0.14924644308988722,0.972348176524448
pain_x_speech,0.16092799844660144,0.972348176524448
high_x_attention,0.1817806192055533,0.9722705813755419
high_x_arousal,0.18649408248661445,0.9722705813755419
fearful_x_arousal,0.22943271133342422,0.9718026172331184
fearful_x_attention,0.2350875268501434,0.9718026172331184
time_sq,0.09724960289537346,0.9715264598373993
time_x_duration,0.10447079745066049,0.9715264598373993
upperlimb_x_pleasant,0.1839497373062025,0.9715007872537336
upperlimb_x_happy,0.17909192716949007,0.9715007872537336
temperature_x_audition,0.19957572330704235,0.9714882620531738
temperature_x_sound,0.2029561668040576,0.9714882620531738
sound_x_away,0.1946093937284062,0.9712888735030204
audition_x_away,0.1969285406248026,0.9712888735030204
taste_x_toward,0.16027042530204316,0.9712584940931838
taste_x_head,0.1627873539489098,0.9712584940931838
loud_x_attention,0.23271087241365054,0.9711911324004178
loud_x_arousal,0.23603701444965053,0.9711911324004178
shape_sq,0.22755999555023468,0.9711778469458876
fast_x_audition,0.22561015097459236,0.9709298333428988
fast_x_sound,0.22002664384736467,0.9709298333428988
audition_x_path,0.2085005189778893,0.9709151178311369
sound_x_path,0.20878264006234357,0.9709151178311369
taste_x_practice,0.1732239307165567,0.97073065354366
weight_x_music,0.15609149407884598,0.9707005114211192
pleasant_sq,0.1516001909277236,0.9706356583140567
touch_x_music,0.1455133616867428,0.9705904958315227
texture_x_music,0.14748032921850085,0.9705904958315227
touch_x_sound,0.18856762612424202,0.9704589349217049
touch_x_audition,0.1863501437744712,0.9704589349217049
body_x_self,0.17106938278697204,0.9704583233112642
biomotion_x_self,0.17393780127880193,0.9704583233112642
body,0.18764316717372093,0.9701343656727686
slow_x_happy,0.16629685773807934,0.9701059923189368
slow_x_pleasant,0.16512256876943276,0.9701059923189368
pattern_x_happy,0.20496896040498455,0.9700669051076255
pattern_x_pleasant,0.21501219717201048,0.9700669051076255
speech,0.19527321485492388,0.9699273220856649
long_x_happy,0.14218609718933603,0.9696835810258023
long_x_pleasant,0.14100577280270654,0.9696835810258023
loud_x_path,0.21134920083386738,0.9692969374155954
large_x_loud,0.22180217285066287,0.9692860970534832
large_x_audition,0.2225966714893177,0.9692860970534832
biomotion_x_drive,0.19549734998024718,0.9691044498290666
body_x_drive,0.18526960606671294,0.9691044498290666
fast,0.22959677388501698,0.9689286950985608
motion_x_fast,0.21577758546264425,0.9689286950985608
temperature_x_loud,0.20241468836458035,0.9688133297248938
color_x_happy,0.1930794306908638,0.9685136679463276
color_x_pleasant,0.2026345871389804,0.9685136679463276
fast_x_loud,0.2255490204379238,0.9683823170362209
shape_x_texture,0.23298954166280175,0.9683718298545924
texture_x_pleasant,0.21943759308299476,0.9681790776125316
texture_x_happy,0.21002711116619432,0.9681790776125316
speech_x_harm,0.18613590871673835,0.9679206248828672
face_x_harm,0.17623915346825403,0.9679206248828672
away_x_pleasant,0.17368831123803768,0.9679110159701765
away_x_happy,0.1655466220841172,0.9679110159701765
practice_sq,0.18624325008670295,0.9677467522229378
practice,0.1977698730235562,0.9677467522229378
pattern_x_taste,0.1732238679792289,0.9677458155503694
shape_x_taste,0.16862674676084108,0.9677458155503694
audition_x_upperlimb,0.16408874737448473,0.9675655099918239
sound_x_upperlimb,0.15587326267911747,0.9675655099918239
biomotion_x_communication,0.17069281037540104,0.9674163765328488
body_x_communication,0.16376458322506737,0.9674163765328488
small_x_shape,0.19123240015120765,0.9673792147311272
vision_x_landmark,0.11996221534481301,0.9672662768622229
landmark,0.11317002183812627,0.9672662768622229
path_x_happy,0.16126493797129204,0.966945690977125
path_x_pleasant,0.16134856368087486,0.966945690977125
biomotion_x_needs,0.16662385389330642,0.9668131325468929
body_x_needs,0.16162749184434563,0.9668131325468929
pain_x_attention,0.21960677256376618,0.966644923961656
pain_x_arousal,0.2174745511232599,0.966644923961656
lowerlimb_x_pleasant,0.1511125292032052,0.966638838030172
lowerlimb_x_happy,0.15363369573366226,0.966638838030172
attention,0.24095735168070892,0.9663193437076774
attention_sq,0.23573791014546247,0.9663193437076774
face_x_sad,0.16446024968917383,0.9661002536492368
speech_x_sad,0.1798284204267728,0.9661002536492368
pattern_x_sound,0.2146075384096128,0.9660781610463809
pattern_x_audition,0.2167343154424277,0.9660781610463809
color_x_audition,0.20666099812323213,0.9659133331012699
color_x_sound,0.20297883945954057,0.9659133331012699
scene_x_pleasant,0.16026991075369384,0.9657180609005993
scene_x_happy,0.15468781712466959,0.9657180609005993
vision_x_speech,0.17343058634949024,0.9657153968769944
vision_x_bright,0.19675548427928607,0.9655715227745688
bright,0.18575363548821064,0.9655715227745688
consequential_x_disgusted,0.19983870758653371,0.9654147144057934
disgusted_x_arousal,0.2031021389572382,0.9654147144057934
weight_x_audition,0.2094690966928659,0.9654101857947618
weight_x_sound,0.20990674425123684,0.9654101857947618
head_x_happy,0.148194202445404,0.9653395637532055
head_x_pleasant,0.15179275775347975,0.9653395637532055
weight_x_happy,0.20616736997209723,0.9650811502133481
weight_x_pleasant,0.21748913154598282,0.9650811502133481
small_x_happy,0.17354485168202277,0.9648658868315031
small_x_pleasant,0.18698219767510482,0.9648658868315031
loud_x_taste,0.10946061548056385,0.9647825161959043
audition_x_taste,0.10384869016880649,0.9647825161959043
color_x_loud,0.2089736463852532,0.9647635472798034
body_x_social,0.19174060774255847,0.9646733321028955
biomotion_x_social,0.2032059753444278,0.9646733321028955
sad_x_arousal,0.21259725127219198,0.9645520412707296
sad_x_attention,0.21948295107577206,0.9645520412707296
bright_x_sound,0.20065232928201823,0.9643004906151261
low_x_arousal,0.21211902578842234,0.9642755628728862
low_x_attention,0.205646845760947,0.9642755628728862
touch_x_pleasant,0.2106495518387606,0.9642181012733726
touch_x_happy,0.19886876340765228,0.9642181012733726
shape_x_pleasant,0.22762425254838792,0.9639814366353682
shape_x_happy,0.21829624191756758,0.9639814366353682
dark_x_happy,0.12889699399445143,0.9639697129173983
dark_x_pleasant,0.1273868746320891,0.9639697129173983
vision_x_face,0.16456631609592545,0.9639288295199618
sound_x_taste,0.1025484329639133,0.963926994033951
high_x_human,0.16002207664570153,0.9638761898757763
face_x_high,0.14087742060300196,0.9638761898757763
scene,0.13826471607853885,0.9638061511267574
scene_sq,0.12353581773866812,0.9638061511267574
texture_x_taste,0.172530319895844,0.963790239246273
music_x_upperlimb,0.14074106134575387,0.9633013222361347
self_x_pleasant,0.1529644682690951,0.963184404521062
self_x_happy,0.1484535554229698,0.963184404521062
low,0.19580264258239297,0.9630423191632087
speech_x_angry,0.18457144196529882,0.9628365887778286
face_x_angry,0.17352567922261367,0.9628365887778286
motion_x_speech,0.18038940497477535,0.9628336167478785
motion_x_face,0.17623192238594204,0.9628336167478785
loud_x_smell,0.1774992400183125,0.9627431557762886
audition_x_smell,0.17286128364923964,0.9627431557762886
caused_sq,0.2020960812420272,0.9627111864552549
caused,0.22277156055010847,0.9627111864552549
audition_x_arousal,0.23740710770360432,0.9626107155820677
audition_x_attention,0.23253890934647325,0.9626107155820677
audition_sq,0.2035422860616165,0.9625391799112525
benefit_x_pleasant,0.15430792406143967,0.962498870459357
benefit_x_happy,0.1461547342798446,0.962498870459357
speech_x_arousal,0.2075753823939167,0.962420685121862
speech_x_attention,0.20085739709542882,0.962420685121862
small_x_sound,0.15089938131432967,0.9624178504831736
small_x_audition,0.15263423975931192,0.9624178504831736
unpleasant,0.22062708834653133,0.9623520650213893
