feature_1,feature_2,correlation,abs_correlation
audition_x_music,sound_x_music,0.9949192341412302,0.9949192341412302
biomotion_x_speech,body_x_speech,0.992351365663827,0.992351365663827
music_x_pleasant,music_x_happy,0.9901602457592978,0.9901602457592978
face_sq,face_x_human,0.9895732406711415,0.9895732406711415
face_x_speech,face_x_human,0.9895263446641276,0.9895263446641276
biomotion_x_face,face_x_body,0.9892884090111116,0.9892884090111116
high_x_pleasant,high_x_happy,0.9886811190962081,0.9886811190962081
biomotion_x_human,body_x_human,0.9879677769141748,0.9879677769141748
color,vision_x_color,0.9876097677369076,0.9876097677369076
face_x_lowerlimb,speech_x_lowerlimb,0.9868710979481986,0.9868710979481986
face_x_body,body_x_speech,0.986844770490098,0.986844770490098
face_sq,face_x_body,0.9866421157729068,0.9866421157729068
pleasant_x_surprised,happy_x_surprised,0.9866112539225792,0.9866112539225792
face_x_speech,speech_x_human,0.9861331327199263,0.9861331327199263
low_x_pleasant,low_x_happy,0.9860206961741331,0.9860206961741331
face_x_human,speech_x_human,0.9859629352335502,0.9859629352335502
audition_x_low,low_x_sound,0.9858545815855302,0.9858545815855302
speech_sq,face_x_speech,0.985353664340924,0.985353664340924
body_sq,biomotion_x_body,0.9853314816615296,0.9853314816615296
social_x_pleasant,social_x_happy,0.9849992835802347,0.9849992835802347
taste,vision_x_taste,0.984911703465742,0.984911703465742
biomotion_x_speech,face_x_speech,0.9848193191193502,0.9848193191193502
audition_x_high,high_x_sound,0.9847468207165244,0.9847468207165244
speech_sq,speech_x_human,0.9846628681141857,0.9846628681141857
music_sq,sound_x_music,0.9846184162487597,0.9846184162487597
loud_x_pleasant,loud_x_happy,0.9846106552212707,0.9846106552212707
face_sq,biomotion_x_face,0.9845531909422215,0.9845531909422215
audition_x_music,loud_x_music,0.9844973673554063,0.9844973673554063
face_sq,face_x_speech,0.9838933749148461,0.9838933749148461
audition_x_loud,loud_x_sound,0.9837229354571168,0.9837229354571168
face_x_speech,body_x_speech,0.9833893307202078,0.9833893307202078
taste,taste_sq,0.9831205491459674,0.9831205491459674
face_x_body,face_x_human,0.9830746141840694,0.9830746141840694
texture,vision_x_texture,0.9830621218897417,0.9830621218897417
small_sq,small_x_weight,0.9828760337906504,0.9828760337906504
pleasant_x_arousal,happy_x_arousal,0.982685376996142,0.982685376996142
small_x_taste,weight_x_taste,0.9825296877293288,0.9825296877293288
sound_x_pleasant,sound_x_happy,0.982127770232076,0.982127770232076
happy_sq,pleasant_x_happy,0.9820715453836965,0.9820715453836965
biomotion_x_speech,face_x_human,0.9818938666536035,0.9818938666536035
face_x_human,body_x_speech,0.9816830673226459,0.9816830673226459
audition_x_pleasant,audition_x_happy,0.9812584265287709,0.9812584265287709
music_sq,audition_x_music,0.9805920983258954,0.9805920983258954
face_x_pleasant,face_x_happy,0.9804350485022594,0.9804350485022594
shape,vision_x_shape,0.9803225561053753,0.9803225561053753
cognition_x_pleasant,cognition_x_happy,0.980085774680199,0.980085774680199
loud_x_music,sound_x_music,0.9800801211593119,0.9800801211593119
landmark_x_pleasant,landmark_x_happy,0.9797816380200873,0.9797816380200873
speech_x_pleasant,speech_x_happy,0.9796261051434776,0.9796261051434776
biomotion_x_face,biomotion_x_speech,0.9795571067405053,0.9795571067405053
biomotion_x_face,face_x_human,0.979528482885588,0.979528482885588
pleasant_x_drive,happy_x_drive,0.9794673828124763,0.9794673828124763
caused_x_pleasant,caused_x_happy,0.9794306277143559,0.9794306277143559
biomotion_x_number,body_x_number,0.9793251722640685,0.9793251722640685
pattern,vision_x_pattern,0.9791735690237494,0.9791735690237494
biomotion_x_speech,face_x_body,0.9791634548905047,0.9791634548905047
loud_sq,audition_x_loud,0.9791611199495261,0.9791611199495261
music_x_attention,music_x_arousal,0.9791506282819726,0.9791506282819726
taste_x_pleasant,taste_x_happy,0.9786342438807344,0.9786342438807344
sound_sq,audition_x_sound,0.9781843950241689,0.9781843950241689
smell,vision_x_smell,0.9781429051383903,0.9781429051383903
music,vision_x_music,0.9781146112385882,0.9781146112385882
biomotion_x_upperlimb,body_x_upperlimb,0.97803835227546,0.97803835227546
smell_x_pleasant,smell_x_happy,0.9780003117978744,0.9780003117978744
music,audition_x_music,0.9779983734737645,0.9779983734737645
biomotion_x_lowerlimb,body_x_lowerlimb,0.977990307439598,0.977990307439598
small,vision_x_small,0.977948216351073,0.977948216351073
bright_x_pleasant,bright_x_happy,0.9775673244691583,0.9775673244691583
vision,vision_sq,0.9773555998247818,0.9773555998247818
biomotion_x_speech,speech_x_human,0.9773387244299129,0.9773387244299129
audition_x_high,loud_x_high,0.9766861205103368,0.9766861205103368
fast_x_pleasant,fast_x_happy,0.9766080023430702,0.9766080023430702
time_x_pleasant,time_x_happy,0.976550081718833,0.976550081718833
landmark_sq,landmark_x_scene,0.9764290470172633,0.9764290470172633
audition_x_low,loud_x_low,0.9757378773280166,0.9757378773280166
biomotion_x_pleasant,biomotion_x_happy,0.975729567680093,0.975729567680093
motion_x_pleasant,motion_x_happy,0.9754576789920121,0.9754576789920121
communication_x_pleasant,communication_x_happy,0.975218347802507,0.975218347802507
pleasant_x_attention,happy_x_attention,0.9750267562228849,0.9750267562228849
weight,vision_x_weight,0.9748846190995921,0.9748846190995921
large_x_pleasant,large_x_happy,0.9748374846423435,0.9748374846423435
high,high_x_sound,0.9745120148183893,0.9745120148183893
human_x_pleasant,human_x_happy,0.9744018321129251,0.9744018321129251
body_x_speech,speech_x_human,0.974388465067319,0.974388465067319
biomotion,biomotion_sq,0.974229907689154,0.974229907689154
music,sound_x_music,0.974220993193998,0.974220993193998
texture_x_audition,texture_x_sound,0.9739309334110451,0.9739309334110451
loud_x_music,music_x_attention,0.9738476632097942,0.9738476632097942
complexity_x_pleasant,complexity_x_happy,0.9736476894776886,0.9736476894776886
consequential_x_pleasant,consequential_x_happy,0.9736354118213458,0.9736354118213458
pattern_x_music,shape_x_music,0.9736016535351724,0.9736016535351724
face,face_sq,0.9734331212546451,0.9734331212546451
short_x_pleasant,short_x_happy,0.9733616519829739,0.9733616519829739
face_x_body,face_x_speech,0.9730607635919155,0.9730607635919155
temperature_x_pleasant,temperature_x_happy,0.9730299722684582,0.9730299722684582
duration_x_pleasant,duration_x_happy,0.9729696354677305,0.9729696354677305
body_x_pleasant,body_x_happy,0.9728184433954544,0.9728184433954544
taste_sq,taste_x_smell,0.9727745575829015,0.9727745575829015
number_x_pleasant,number_x_happy,0.972682279228994,0.972682279228994
face_x_fearful,speech_x_fearful,0.9726774650739335,0.9726774650739335
biomotion_x_face,body_x_speech,0.9726104611650233,0.9726104611650233
bright_x_audition,bright_x_loud,0.9725374810062,0.9725374810062
music,music_x_attention,0.972417054450046,0.972417054450046
face_x_disgusted,speech_x_disgusted,0.9723867378276734,0.9723867378276734
face_x_pain,pain_x_speech,0.972348176524448,0.972348176524448
high_x_attention,high_x_arousal,0.9722705813755419,0.9722705813755419
fearful_x_attention,fearful_x_arousal,0.9718026172331184,0.9718026172331184
taste_sq,vision_x_taste,0.971789020023992,0.971789020023992
face_sq,body_x_speech,0.9716328865522071,0.9716328865522071
time_sq,time_x_duration,0.9715264598373993,0.9715264598373993
upperlimb_x_pleasant,upperlimb_x_happy,0.9715007872537336,0.9715007872537336
temperature_x_audition,temperature_x_sound,0.9714882620531738,0.9714882620531738
audition_x_away,sound_x_away,0.9712888735030204,0.9712888735030204
taste_x_head,taste_x_toward,0.9712584940931838,0.9712584940931838
loud_x_attention,loud_x_arousal,0.9711911324004178,0.9711911324004178
shape,shape_sq,0.9711778469458876,0.9711778469458876
face_sq,biomotion_x_speech,0.9709838874730625,0.9709838874730625
fast_x_audition,fast_x_sound,0.9709298333428988,0.9709298333428988
audition_x_path,sound_x_path,0.9709151178311369,0.9709151178311369
loud_x_low,low_x_sound,0.9707469355406795,0.9707469355406795
taste_sq,taste_x_practice,0.97073065354366,0.97073065354366
shape_x_music,weight_x_music,0.9707005114211192,0.9707005114211192
pleasant_sq,pleasant_x_happy,0.9706356583140567,0.9706356583140567
touch_x_music,texture_x_music,0.9705904958315227,0.9705904958315227
touch_x_audition,touch_x_sound,0.9704589349217049,0.9704589349217049
