feature,anova_f,anova_pvalue
practice_x_human,427.28462366058477,1.9124559395833075e-102
short_x_human,283.3133978416248,6.436410237534811e-79
practice_x_short,248.47425071145028,3.407860471905038e-72
practice_x_consequential,203.45099545883625,1.0406695768262446e-62
biomotion_x_short,185.73632591379678,1.0810309919801449e-58
practice_x_caused,183.59167801204364,3.405520598900764e-58
short_x_self,177.73588207743538,8.067584552488866e-57
body_x_short,176.8513593756006,1.306662118731355e-56
practice_x_self,155.271471820784,2.390234561770802e-51
path_x_cognition,149.67798730112457,6.206371002757837e-50
path_x_self,142.5159458010059,4.326166955426962e-48
near_x_short,135.01614008689864,4.041944481710137e-46
practice_x_duration,124.49392643943972,2.78024381819711e-43
path_x_human,124.07872304141438,3.6129224970578e-43
practice_x_cognition,120.45758322288358,3.598570918591732e-42
biomotion_x_practice,118.79244039418421,1.0442975877535163e-41
duration_x_self,117.68593530712957,2.1260693861845975e-41
slow_x_self,108.20014604543758,1.0416037743512926e-38
away_x_human,107.19505589515273,2.0295070847229747e-38
duration_x_human,105.6774396589329,5.578657688356597e-38
practice_x_drive,102.03022372344611,6.464232796043616e-37
slow_x_short,100.89759329437317,1.3913821883231688e-36
human_x_self,100.57709309493237,1.7293139494654442e-36
biomotion_x_duration,98.51222145265676,7.056093220900529e-36
practice_x_arousal,96.73561688871557,2.383707189994501e-35
body_x_practice,92.21418993627154,5.4522942396730266e-34
toward_x_human,88.2615463938329,8.740431387893838e-33
practice_x_path,85.13386885019915,8.058871978732228e-32
fast_x_self,84.69275505588033,1.1044656882049967e-31
body_x_path,83.7637099209599,2.1483323109065193e-31
near_x_duration,78.97148061743488,6.872413752570601e-30
landmark_x_self,77.93558717394077,1.4644844989696339e-29
away_x_self,77.76248885544724,1.6622799334643483e-29
path_x_short,76.92490729509268,3.0718089422078475e-29
near_x_caused,76.13113970056655,5.506135634007702e-29
near_x_human,75.62938225535352,7.969289122346743e-29
body_x_duration,74.82355425742487,1.4450642518234883e-28
