feature,max_abs_class_mean_contrast
practice_x_human,2.2392850791064376
short_x_human,2.073633545393154
practice_x_short,2.0169375329441306
practice_x_consequential,1.9208767492880023
biomotion_x_short,1.8718846647473801
body_x_short,1.8530639094868815
short_x_self,1.852824051446329
practice_x_caused,1.8153699046719987
practice_x_self,1.7831433931575014
path_x_cognition,1.7674590990888241
path_x_self,1.7416036322859656
near_x_short,1.6930955348921812
path_x_human,1.6657291188901366
practice_x_duration,1.6630046825780394
biomotion_x_practice,1.6463586333396656
duration_x_self,1.6414666607478698
practice_x_cognition,1.6023979366907637
slow_x_self,1.596128305626731
away_x_human,1.5896866150832265
duration_x_human,1.5815496707760237
practice_x_drive,1.5643174201572365
human_x_self,1.5559686067933847
slow_x_short,1.5535054263210752
biomotion_x_duration,1.5456838809429325
practice_x_arousal,1.5308609082259403
body_x_practice,1.5042374689478712
toward_x_human,1.4886920070110605
fast_x_self,1.46578209165481
practice_x_path,1.4648950038017734
body_x_path,1.4605141342515862
away_x_self,1.420296690813658
landmark_x_self,1.4196500808981591
near_x_duration,1.4108346727688694
path_x_short,1.404337976421511
near_x_human,1.3996867885238473
practice_x_social,1.3903417100031075
practice_x_surprised,1.376908184136107
path_x_drive,1.3756835344946408
near_x_caused,1.375065286492344
body_x_duration,1.3735198519363587
path_x_communication,1.3665385156056717
biomotion_x_self,1.3557502193868352
near_x_consequential,1.3483993418440923
slow_x_practice,1.3443747014868805
practice_x_long,1.3436898449542034
landmark_x_human,1.334361551348483
toward_x_self,1.326254173523896
lowerlimb_x_short,1.3164706069146153
touch_x_human,1.3044404224473996
upperlimb_x_self,1.303611855534038
biomotion_x_path,1.2900536566352145
path_x_near,1.2819720020258236
fast_x_cognition,1.27320150251275
complexity_x_self,1.2725935136107949
upperlimb_x_path,1.258815929882855
slow_x_human,1.2534597416018622
body_x_landmark,1.251323823882461
self,1.2462711869529013
landmark_x_short,1.2349716365755952
biomotion_x_landmark,1.2218466230407348
slow_x_consequential,1.2210660603032777
path_x_social,1.2182640869706214
body_x_away,1.2044360394085432
time_x_self,1.2031878476355282
motion_x_self,1.20303258537968
self_sq,1.2025733526043216
consequential_x_self,1.1959973506570345
scene_x_self,1.1938036530412444
slow_x_drive,1.1928779477002724
body_x_self,1.1916538029920531
path_x_consequential,1.186999478839156
upperlimb_x_short,1.1768937467783043
slow_x_caused,1.171265846171992
away_x_cognition,1.1569894311424964
path_x_caused,1.1538153147029346
practice_x_attention,1.1509475563053981
near_x_cognition,1.1471595718186887
touch_x_short,1.139302788488179
practice_x_sad,1.1369011925887853
body_x_toward,1.1327039223504616
face_x_practice,1.118862008138711
path,1.1085941491683164
biomotion_x_away,1.1071414999762463
short,1.1045657836913545
fast_x_human,1.0990196230506781
path_x_duration,1.0988385895206094
slow_x_cognition,1.0982463685198651
consequential_x_human,1.0893017478350167
path_sq,1.086287703202239
away_x_short,1.0852927623845152
practice_x_time,1.0796250559431793
away_x_drive,1.0758614714241712
time_x_human,1.0712470292682605
away_x_consequential,1.0702521597500942
caused_x_self,1.0664014878975698
upperlimb_x_human,1.066364130413664
caused_x_human,1.0616214825516261
long_x_human,1.0507565910046028
lowerlimb_x_self,1.0505875504384816
self_x_arousal,1.0435701556458665
biomotion_x_time,1.0424581830122102
human_x_cognition,1.038551668715457
near_x_self,1.0378061937343874
touch_x_consequential,1.034825250916222
slow_x_duration,1.0330979720979514
touch_x_cognition,1.0322082026923751
practice_x_unpleasant,1.0313130489294067
fast_x_practice,1.0278800987948549
near_x_arousal,1.027176255709356
biomotion_x_caused,1.0230651220704798
upperlimb_x_consequential,1.022570816565532
human,1.0223221215803022
slow_x_path,1.02208536739107
path_x_arousal,1.0219017410909874
biomotion_x_consequential,1.0213307196250978
short_x_benefit,1.0181436563804713
lowerlimb_x_consequential,1.0169854376528982
practice_x_communication,1.0156138153657879
practice_x_away,1.0146125144762859
landmark_x_path,1.0112227937153504
head_x_path,1.007850342641919
biomotion_x_cognition,1.0023431537184404
toward_x_cognition,0.9978656068092392
path_x_benefit,0.992450168399865
biomotion_x_toward,0.992255627198706
human_x_arousal,0.9920278647543392
practice_x_angry,0.9920057807079387
social_x_self,0.9910592766762455
fast_x_body,0.9892981669871947
face_x_short,0.9886317057388581
touch_x_caused,0.9879990299985368
lowerlimb_x_path,0.9829323900624355
practice,0.982432960401006
toward_x_short,0.9813352019150261
path_x_toward,0.9783170643547906
body_x_time,0.9761167031285939
complexity_x_short,0.9752766049869664
human_x_communication,0.972056880568728
slow_x_upperlimb,0.9677308366023172
slow_x_body,0.9667022422415119
practice_sq,0.9616918549151541
upperlimb_x_duration,0.9603508193357849
