feature,mutual_information
complexity_sq,0.4634657729249183
complexity,0.46226086412655154
practice_x_caused,0.39073571068349633
complexity_x_practice,0.36368440979906946
practice_sq,0.31156279205180915
practice,0.31132524059466404
complexity_x_caused,0.275651497193216
practice_x_human,0.25952556146539285
caused,0.25790366533396547
caused_sq,0.2558064857858635
body_x_human,0.25480183112316523
short_x_human,0.23981509540144774
human,0.22507317133375637
biomotion_x_body,0.22315949219529418
human_sq,0.22282526839647732
complexity_x_human,0.21816058451854103
biomotion_x_human,0.21408898705226753
near_x_short,0.20946083760140022
short_x_self,0.20851872599608878
practice_x_short,0.2074141653662709
practice_x_consequential,0.20591550932340885
vision_x_human,0.20048859990147472
biomotion_x_short,0.199944127892822
near_x_consequential,0.19683313037233185
complexity_x_face,0.19406265592440541
body,0.193733703270077
face_x_body,0.19279368138132202
body_x_practice,0.1925623453037617
body_x_speech,0.190218708749734
complexity_x_body,0.18809441657564152
practice_x_self,0.1851128550761092
near_x_duration,0.18435267307981174
body_sq,0.18421345112588683
body_x_path,0.18306110579180346
face_x_human,0.18255177173710568
body_x_short,0.1810847671801843
vision_x_biomotion,0.1763292273979884
slow_x_short,0.1752310691518797
near_x_human,0.1741705358873784
path_x_self,0.17258388090895083
vision_x_body,0.17087981739886016
complexity_x_short,0.1681350038489875
path_x_cognition,0.16701122459290962
duration_x_human,0.1660739459449896
biomotion_x_face,0.1638985244856308
face_x_practice,0.16319725860935885
motion_x_body,0.16273953360599225
biomotion_x_self,0.15970985564185525
biomotion_x_consequential,0.15938425169642767
color_x_complexity,0.1589661190165188
shape_x_texture,0.15845807904972542
slow_x_human,0.1581307943578696
biomotion_x_practice,0.15717382077636266
path_x_human,0.156565267607518
short_sq,0.1557294125088191
biomotion_x_complexity,0.15434119082354614
landmark_x_human,0.1536278932318702
path_x_short,0.15239577840546925
biomotion_x_speech,0.15224041679780043
body_x_arousal,0.1518964324237535
body_x_toward,0.1513121576527876
face,0.15080087086510452
landmark_x_consequential,0.1487027594360888
duration_x_self,0.1482053678348323
face_sq,0.14810381005553852
long_x_short,0.1479471161841206
body_x_duration,0.14705303966544903
biomotion_x_arousal,0.14624997625041658
biomotion_x_duration,0.14568656996243812
face_x_path,0.14564292219427255
short,0.14561387445505614
motion_x_self,0.14503836918460222
shape_x_scene,0.14484054002977276
biomotion_sq,0.14469530035727862
short_x_benefit,0.14467421364076372
practice_x_cognition,0.14435066231973215
body_x_self,0.1442334510308083
vision_x_complexity,0.1441499363850447
body_x_consequential,0.14370031345912015
upperlimb_x_short,0.14326202843628577
body_x_caused,0.1431354628262953
path_x_communication,0.14153751786344393
body_x_social,0.1415198081741753
biomotion,0.14151967429777845
human_x_self,0.14078660713939906
duration_x_short,0.1405807905111236
practice_x_drive,0.14025416736085905
face_x_caused,0.14014512597148965
body_x_needs,0.13942654073728122
vision_x_face,0.13926230131994877
vision_x_weight,0.13891626944655333
touch_x_human,0.1385104534387207
practice_x_unpleasant,0.1378050826610384
vision_x_pattern,0.13772936742153874
path_x_near,0.13724777402218113
toward_x_short,0.13687206245883776
complexity_x_texture,0.13665136839327907
slow_x_face,0.13554554723939383
biomotion_x_near,0.1352910037094499
motion_x_human,0.13481341833777494
shape_sq,0.13418333822798045
vision_x_shape,0.13397484075094757
biomotion_x_path,0.13392208314588272
vision_sq,0.13333408712725947
color_x_weight,0.13273811604334695
color_sq,0.13207602907396598
slow_x_body,0.13204934973672855
vision,0.13155363183143098
slow_x_self,0.1313017732784747
toward_x_human,0.13084527885995367
vision_x_practice,0.13062867118049093
color,0.12891971456654994
fast_x_short,0.12849957879674068
landmark_x_short,0.1283542019268693
shape,0.12762515687850562
near_x_drive,0.1272900996200539
motion_x_face,0.12711701833669942
pattern_x_practice,0.12688174680044373
complexity_x_music,0.1266910658737912
shape_x_weight,0.12654135144517475
vision_x_small,0.12640089116412212
shape_x_complexity,0.12619522296377017
biomotion_x_toward,0.12592227168768422
vision_x_texture,0.12560173291345955
near_x_away,0.12559912688133013
complexity_x_self,0.12534563746340477
face_x_speech,0.12519078409179696
near_x_arousal,0.125077199595389
practice_x_arousal,0.12493283059383997
practice_x_communication,0.12466620645038096
consequential_x_self,0.12457353140097238
practice_x_social,0.12396979284520038
body_x_near,0.12384710400598764
biomotion_x_caused,0.1234821976812035
body_x_communication,0.12313103912742895
short_x_drive,0.12304437529632639
path_x_consequential,0.12284731366972568
vision_x_near,0.12277506102095614
near_x_cognition,0.12238003493579286
shape_x_body,0.12234219442822925
vision_x_motion,0.12174376269330467
speech_x_practice,0.12131280065419237
slow_x_consequential,0.12107194881052341
