feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
practice_x_human,427.28462366058477,1.9124559395833075e-102,0.25952556146539285,2.2392850791064376,1.0,8.0,1.0,3.3333333333333335
short_x_human,283.3133978416248,6.436410237534811e-79,0.23981509540144774,2.073633545393154,2.0,12.0,2.0,5.333333333333333
practice_x_caused,183.59167801204364,3.405520598900764e-58,0.39073571068349633,1.8153699046719987,6.0,3.0,8.0,5.666666666666667
practice_x_short,248.47425071145028,3.407860471905038e-72,0.2074141653662709,2.0169375329441306,3.0,20.0,3.0,8.666666666666666
practice_x_consequential,203.45099545883625,1.0406695768262446e-62,0.20591550932340885,1.9208767492880023,4.0,21.0,4.0,9.666666666666666
biomotion_x_short,185.73632591379678,1.0810309919801449e-58,0.199944127892822,1.8718846647473801,5.0,23.0,5.0,11.0
short_x_self,177.73588207743538,8.067584552488866e-57,0.20851872599608878,1.852824051446329,7.0,19.0,7.0,11.0
near_x_short,135.01614008689864,4.041944481710137e-46,0.20946083760140022,1.6930955348921812,12.0,18.0,12.0,14.0
practice_x_self,155.271471820784,2.390234561770802e-51,0.1851128550761092,1.7831433931575014,9.0,31.0,9.0,16.333333333333332
body_x_short,176.8513593756006,1.306662118731355e-56,0.1810847671801843,1.8530639094868815,8.0,36.0,6.0,16.666666666666668
path_x_self,142.5159458010059,4.326166955426962e-48,0.17258388090895083,1.7416036322859656,11.0,40.0,11.0,20.666666666666668
path_x_cognition,149.67798730112457,6.206371002757837e-50,0.16701122459290962,1.7674590990888241,10.0,43.0,10.0,21.0
body_x_practice,92.21418993627154,5.4522942396730266e-34,0.1925623453037617,1.5042374689478712,26.0,28.0,26.0,26.666666666666668
path_x_human,124.07872304141438,3.6129224970578e-43,0.156565267607518,1.6657291188901366,14.0,54.0,13.0,27.0
slow_x_short,100.89759329437317,1.3913821883231688e-36,0.1752310691518797,1.5535054263210752,22.0,38.0,23.0,27.666666666666668
biomotion_x_practice,118.79244039418421,1.0442975877535163e-41,0.15717382077636266,1.6463586333396656,16.0,53.0,15.0,28.0
duration_x_human,105.6774396589329,5.578657688356597e-38,0.1660739459449896,1.5815496707760237,20.0,44.0,20.0,28.0
body_x_path,83.7637099209599,2.1483323109065193e-31,0.18306110579180346,1.4605141342515862,30.0,34.0,30.0,31.333333333333332
near_x_duration,78.97148061743488,6.872413752570601e-30,0.18435267307981174,1.4108346727688694,31.0,32.0,33.0,32.0
duration_x_self,117.68593530712957,2.1260693861845975e-41,0.1482053678348323,1.6414666607478698,17.0,64.0,16.0,32.333333333333336
near_x_consequential,74.61105888257254,1.6910847373352975e-28,0.19683313037233185,1.3483993418440923,38.0,24.0,43.0,35.0
practice_x_cognition,120.45758322288358,3.598570918591732e-42,0.14435066231973215,1.6023979366907637,15.0,76.0,17.0,36.0
near_x_human,75.62938225535352,7.969289122346743e-29,0.1741705358873784,1.3996867885238473,36.0,39.0,35.0,36.666666666666664
biomotion_x_duration,98.51222145265676,7.056093220900529e-36,0.14568656996243812,1.5456838809429325,24.0,69.0,24.0,39.0
path_x_short,76.92490729509268,3.0718089422078475e-29,0.15239577840546925,1.404337976421511,34.0,58.0,34.0,42.0
practice_x_drive,102.03022372344611,6.464232796043616e-37,0.14025416736085905,1.5643174201572365,21.0,87.0,21.0,43.0
human_x_self,100.57709309493237,1.7293139494654442e-36,0.14078660713939906,1.5559686067933847,23.0,85.0,22.0,43.333333333333336
biomotion_x_self,68.42242736907065,1.7344465780132444e-26,0.15970985564185525,1.3557502193868352,43.0,48.0,42.0,44.333333333333336
body_x_duration,74.82355425742487,1.4450642518234883e-28,0.14705303966544903,1.3735198519363587,37.0,67.0,40.0,48.0
slow_x_self,108.20014604543758,1.0416037743512926e-38,0.1313017732784747,1.596128305626731,18.0,109.0,18.0,48.333333333333336
landmark_x_human,67.42632365301301,3.6895950679589364e-26,0.1536278932318702,1.334361551348483,45.0,57.0,46.0,49.333333333333336
toward_x_human,88.2615463938329,8.740431387893838e-33,0.13084527885995367,1.4886920070110605,27.0,110.0,27.0,54.666666666666664
path_x_communication,70.12419467154356,4.806060843633929e-27,0.14153751786344393,1.3665385156056717,42.0,82.0,41.0,55.0
slow_x_human,56.65890138669824,1.5378529876904602e-22,0.1581307943578696,1.2534597416018622,59.0,52.0,56.0,55.666666666666664
practice_x_arousal,96.73561688871557,2.383707189994501e-35,0.12493283059383997,1.5308609082259403,25.0,129.0,25.0,59.666666666666664
practice_x_duration,124.49392643943972,2.78024381819711e-43,0.11720982746124986,1.6630046825780394,13.0,157.0,14.0,61.333333333333336
touch_x_human,62.369370618567324,1.775924926697167e-24,0.1385104534387207,1.3044404224473996,50.0,92.0,49.0,63.666666666666664
path_x_near,61.398027698820144,3.7681766198366314e-24,0.13724777402218113,1.2819720020258236,52.0,95.0,52.0,66.33333333333333
face_x_practice,50.10705723084587,2.8917786022320683e-20,0.16319725860935885,1.118862008138711,72.0,46.0,81.0,66.33333333333333
motion_x_self,51.10400971198161,1.2926203554705763e-20,0.14503836918460222,1.20303258537968,68.0,72.0,65.0,68.33333333333333
biomotion_x_path,61.82061938834398,2.715515950345206e-24,0.13392208314588272,1.2900536566352145,51.0,103.0,51.0,68.33333333333333
practice_x_social,73.09826481439393,5.196561838583872e-28,0.12396979284520038,1.3903417100031075,40.0,132.0,36.0,69.33333333333333
landmark_x_self,77.93558717394077,1.4644844989696339e-29,0.11826255939708274,1.4196500808981591,32.0,151.0,32.0,71.66666666666667
upperlimb_x_short,51.223156459213584,1.1742679913483977e-20,0.14326202843628577,1.1768937467783043,67.0,80.0,72.0,73.0
body_x_self,49.196572834125206,6.049104427565173e-20,0.1442334510308083,1.1916538029920531,75.0,77.0,70.0,74.0
away_x_human,107.19505589515273,2.0295070847229747e-38,0.11164188595375535,1.5896866150832265,19.0,187.0,19.0,75.0
