model,class,feature,coefficient,abs_coefficient
lasso,Property,long_x_short,-1.433390416414222,1.433390416414222
lasso,Property,near,-0.6808372750282352,0.6808372750282352
lasso,Property,short,-0.5509809899420962,0.5509809899420962
lasso,Property,near_x_surprised,-0.548009933680173,0.548009933680173
lasso,Property,near_x_consequential,-0.49865605283461595,0.49865605283461595
lasso,Property,short_x_consequential,-0.43910010622150236,0.43910010622150236
lasso,Property,complexity_x_cognition,0.32331570007988414,0.32331570007988414
lasso,Property,toward_x_cognition,0.3092281104152292,0.3092281104152292
lasso,Property,vision_sq,0.30665647354917974,0.30665647354917974
lasso,Property,small_x_drive,-0.2993330265722006,0.2993330265722006
lasso,Property,speech_x_practice,0.2685223251674946,0.2685223251674946
lasso,Property,near_x_long,-0.26591074808400655,0.26591074808400655
lasso,Property,consequential_x_self,-0.2322621886237099,0.2322621886237099
lasso,Property,away_x_caused,-0.22874980019795288,0.22874980019795288
lasso,Property,complexity_x_self,0.2006350835489388,0.2006350835489388
lasso,Property,practice_x_attention,0.19896474649235188,0.19896474649235188
lasso,Property,practice_x_caused,0.19231723576414755,0.19231723576414755
lasso,Property,practice_x_sad,0.18962207468060602,0.18962207468060602
lasso,Property,short_x_cognition,-0.17608386483703195,0.17608386483703195
lasso,Property,shape_x_benefit,-0.17160956748644277,0.17160956748644277
lasso,Property,human_x_surprised,-0.169607223993758,0.169607223993758
lasso,Property,near_x_caused,-0.16703475845201757,0.16703475845201757
lasso,Property,vision_x_short,0.16604383666497996,0.16604383666497996
lasso,Property,short_x_benefit,-0.1650676919273548,0.1650676919273548
lasso,Property,touch_x_duration,0.16308930164602106,0.16308930164602106
lasso,Property,shape_x_texture,-0.158464948415972,0.158464948415972
lasso,Property,vision_x_self,0.15173884084754363,0.15173884084754363
lasso,Property,body_x_duration,0.14829555589680463,0.14829555589680463
lasso,Property,near_x_unpleasant,-0.14515419771004262,0.14515419771004262
lasso,Property,small_x_consequential,-0.12671724290525802,0.12671724290525802
lasso,Thing,practice_x_caused,-2.1831210900789135,2.1831210900789135
lasso,Thing,shape_x_benefit,0.8421479713716518,0.8421479713716518
lasso,Thing,small_x_drive,0.5931511044755793,0.5931511044755793
lasso,Thing,complexity_x_self,-0.5668271704012852,0.5668271704012852
lasso,Thing,shape_x_scene,0.5468667861746301,0.5468667861746301
lasso,Thing,practice_x_human,-0.519727642224435,0.519727642224435
lasso,Thing,vision_x_benefit,0.4619434596494672,0.4619434596494672
lasso,Thing,upperlimb_x_benefit,0.4169559852139987,0.4169559852139987
lasso,Thing,practice_x_attention,-0.4089631046681276,0.4089631046681276
lasso,Thing,short_x_social,0.4079729415079134,0.4079729415079134
lasso,Thing,practice_x_self,-0.3421290805148102,0.3421290805148102
lasso,Thing,short_x_drive,0.33865098484899014,0.33865098484899014
lasso,Thing,short_x_benefit,0.3273056569812869,0.3273056569812869
lasso,Thing,practice_x_unpleasant,-0.32477960395985994,0.32477960395985994
lasso,Thing,practice,-0.31432486221171213,0.31432486221171213
lasso,Thing,practice_x_sad,-0.2993669949811362,0.2993669949811362
lasso,Thing,touch_x_duration,-0.28099661007844406,0.28099661007844406
lasso,Thing,color_x_weight,0.26906155673302623,0.26906155673302623
