,Property,Thing,Action,max_abs_coefficient
practice_x_caused,0.1923172357641475,-2.183121090078913,0.0,2.183121090078913
short_x_human,-0.0734770303046248,-0.1005220236581113,1.7319638939320623,1.7319638939320623
long_x_short,-1.433390416414222,0.0825839001472723,0.0,1.433390416414222
shape_x_benefit,-0.1716095674864427,0.8421479713716518,0.0,0.8421479713716518
near,-0.6808372750282352,0.1594935870793995,0.0,0.6808372750282352
small_x_drive,-0.2993330265722006,0.5931511044755793,0.0,0.5931511044755793
complexity_x_self,0.2006350835489388,-0.5668271704012852,0.0,0.5668271704012852
short,-0.5509809899420962,-0.016661076869061,0.0457120911613508,0.5509809899420962
near_x_surprised,-0.548009933680173,0.1231835252976709,0.0,0.548009933680173
shape_x_scene,-0.0464112187709639,0.5468667861746301,0.0,0.5468667861746301
practice_x_human,0.0093382528397661,-0.519727642224435,0.3656499957141804,0.519727642224435
near_x_consequential,-0.4986560528346159,0.0,0.0014363981502236,0.4986560528346159
vision_x_benefit,0.0,0.4619434596494672,-0.0766459536233846,0.4619434596494672
short_x_consequential,-0.4391001062215023,0.0543816942644102,0.0,0.4391001062215023
upperlimb_x_benefit,-0.0581447190972845,0.4169559852139987,-0.0197181593332415,0.4169559852139987
practice_x_attention,0.1989647464923518,-0.4089631046681276,0.0,0.4089631046681276
short_x_social,-0.068591178076047,0.4079729415079134,-0.000595639210159,0.4079729415079134
biomotion_x_path,0.0,-0.0550682298311183,0.3780159674143152,0.3780159674143152
practice_x_self,0.0,-0.3421290805148102,0.3639056018101994,0.3639056018101994
short_x_drive,-0.0785926041794935,0.3386509848489901,-0.0130402155430181,0.3386509848489901
short_x_benefit,-0.1650676919273548,0.3273056569812869,0.0,0.3273056569812869
practice_x_unpleasant,0.054798483172194,-0.3247796039598599,0.0,0.3247796039598599
path_x_consequential,-0.0045370653982529,-0.014870330108564,0.3236801590154487,0.3236801590154487
complexity_x_cognition,0.3233157000798841,-0.0042992785852129,-0.0762119842573151,0.3233157000798841
practice,0.0694661223170899,-0.3143248622117121,0.032047792246604,0.3143248622117121
toward_x_cognition,0.3092281104152292,-0.095212918483057,-0.0390251441837152,0.3092281104152292
vision_sq,0.3066564735491797,-0.0371945990230308,-0.1001035660189939,0.3066564735491797
practice_x_sad,0.189622074680606,-0.2993669949811362,-0.0077485226752948,0.2993669949811362
touch_x_duration,0.163089301646021,-0.280996610078444,0.0,0.280996610078444
path_x_cognition,-0.0137615926249844,-0.0406702721957687,0.2800916410124076,0.2800916410124076
practice_x_short,-0.0221853999241742,-0.016767744097523,0.2699618469529395,0.2699618469529395
color_x_weight,-0.1005516902146333,0.2690615567330262,0.0,0.2690615567330262
speech_x_practice,0.2685223251674946,-0.0641267369548504,0.0,0.2685223251674946
near_x_long,-0.2659107480840065,0.1309757328744793,0.0,0.2659107480840065
practice_x_duration,0.0524820051481973,-0.2652110568948331,0.0160883900708776,0.2652110568948331
path_x_human,0.0,-0.0689243250908851,0.2629583381904444,0.2629583381904444
short_x_self,-0.0326395499437293,-0.0418321458655403,0.2444448104616884,0.2444448104616884
body_x_duration,0.1482955558968046,-0.2432518119147507,0.0,0.2432518119147507
consequential_x_self,-0.2322621886237099,0.1811947869436559,0.0,0.2322621886237099
away_x_caused,-0.2287498001979528,0.0463175015824773,0.0,0.2287498001979528
landmark_x_self,-0.0601782321263247,0.0,0.213218730966915,0.213218730966915
path,0.0,-0.001053509112646,0.1903135394518612,0.1903135394518612
vision_x_motion,-0.0120720256816152,0.1891000461988752,-0.0683927478448238,0.1891000461988752
vision_x_near,-0.0987407435681068,0.1785051959221115,0.0,0.1785051959221115
practice_x_long,0.0,0.0,0.1781213733036285,0.1781213733036285
short_x_cognition,-0.1760838648370319,0.0101400662604738,0.0178351926134964,0.1760838648370319
small_x_cognition,-0.1203822225226825,0.1739179236126757,0.0,0.1739179236126757
time_x_human,0.0242213012895203,0.0612815832101573,-0.1706683520583087,0.1706683520583087
human_x_surprised,-0.169607223993758,0.0,0.1365231633324642,0.169607223993758
near_x_caused,-0.1670347584520175,0.0616088454160557,0.0,0.1670347584520175
vision_x_short,0.1660438366649799,0.0,-0.0830847548472738,0.1660438366649799
landmark_x_toward,-0.0223962177594847,-0.0121532985074571,0.1656937535055817,0.1656937535055817
shape_x_texture,-0.158464948415972,0.0838186110525889,0.0,0.158464948415972
body_x_social,-0.0264477463457132,0.1533239874925523,-0.0260040427106722,0.1533239874925523
vision_x_self,0.1517388408475436,-0.0599847797648863,0.0,0.1517388408475436
near_x_unpleasant,-0.1451541977100426,-0.0066120039463954,0.146038049874427,0.146038049874427
face_x_practice,0.0648615755861416,-0.1424789919786259,0.0290810218569227,0.1424789919786259
shape_x_drive,0.0,0.141847809398835,-0.0124274025667212,0.141847809398835
shape_x_pleasant,-0.0105167132399136,0.138339614334011,0.0,0.138339614334011
fast_x_landmark,-0.0194785570480184,0.0,0.1366450338171812,0.1366450338171812
biomotion_x_short,0.0,-0.0707083938004641,0.1358937459089615,0.1358937459089615
biomotion_x_social,-0.0045753019653927,0.1348728678306886,-0.0225144253372419,0.1348728678306886
