feature,mutual_information,mi_rank
caused,0.4876948659824527,1.0
consequential,0.47327968061374137,2.0
pattern,0.46319708190274067,3.0
unpleasant,0.41442110150197076,4.0
color,0.3743319854750702,5.0
texture,0.37177189099036956,6.0
angry,0.363561904540177,7.0
sad,0.33789630010602956,8.0
vision,0.330609724128182,9.0
shape,0.3269055231686684,10.0
bright,0.3213303570515136,11.0
weight,0.31626848573864175,12.0
disgusted,0.3107022796678156,13.0
temperature,0.3076766657522845,14.0
human,0.29845473111259957,15.0
surprised,0.29832522712846044,16.0
fearful,0.29312937939570527,17.0
pleasant,0.29292729371857207,18.0
touch,0.2914417354726775,19.0
cognition,0.2855536396834719,20.0
drive,0.2825175076091404,21.0
pain,0.28101286962608985,22.0
arousal,0.2736529763225797,23.0
happy,0.24788202227238432,24.0
harm,0.24594667994492503,25.0
duration,0.228809405862207,26.0
social,0.21139987535999638,27.0
speech,0.20930018341207646,28.0
small,0.18373602249343035,29.0
attention,0.18140277246559466,30.0
benefit,0.17817416601215008,31.0
self,0.17484660043591393,32.0
short,0.1700465421861148,33.0
practice,0.16984920681846138,34.0
face,0.16850829866989803,35.0
long,0.1624497897161148,36.0
needs,0.1604779207795175,37.0
communication,0.15396568807247824,38.0
dark,0.15203573844924767,39.0
complexity,0.1319655360165337,40.0
head,0.12883837133727938,41.0
taste,0.11897435671485401,42.0
biomotion,0.11453541489704966,43.0
scene,0.10691323346653037,44.0
time,0.10627736723696612,45.0
near,0.10516487675946329,46.0
smell,0.09202648851154183,47.0
large,0.08353920875957876,48.0
fast,0.08274568420980755,49.0
upperlimb,0.07998553503031625,50.0
path,0.07011397779475237,51.0
landmark,0.0699844908512981,52.0
audition,0.06960428261187346,53.0
body,0.06671483412156642,54.0
number,0.06216996228106764,55.0
low,0.049481190173308987,56.0
high,0.04906011633857754,57.0
lowerlimb,0.043872113103871735,58.0
loud,0.041535938637315084,59.0
slow,0.037403974934086204,60.0
sound,0.032698746877478646,61.0
motion,0.02872758553013477,62.0
toward,0.021165339615901058,63.0
music,0.012503540409064096,64.0
away,0.007844807119416819,65.0
