class,feature,coefficient,abs_coefficient,model,target
Cluster_02,duration,0.6990176752688315,0.6990176752688315,post_selection_logistic,kmeans_k3
Cluster_03,duration,-0.6360126348749867,0.6360126348749867,post_selection_logistic,kmeans_k3
Cluster_01,pain,0.618515892089099,0.618515892089099,post_selection_logistic,kmeans_k3
Cluster_02,human,0.6077044431936155,0.6077044431936155,post_selection_logistic,kmeans_k3
Cluster_01,caused,0.5899747746714619,0.5899747746714619,post_selection_logistic,kmeans_k3
Cluster_02,pain,-0.563417227528443,0.563417227528443,post_selection_logistic,kmeans_k3
Cluster_03,caused,-0.5377815173984053,0.5377815173984053,post_selection_logistic,kmeans_k3
Cluster_03,human,-0.5355904587059429,0.5355904587059429,post_selection_logistic,kmeans_k3
Cluster_03,practice,0.5260175247787275,0.5260175247787275,post_selection_logistic,kmeans_k3
Cluster_01,happy,-0.5213500880718185,0.5213500880718185,post_selection_logistic,kmeans_k3
Cluster_01,pleasant,-0.4810128712164084,0.4810128712164084,post_selection_logistic,kmeans_k3
Cluster_03,bright,0.47932617637113717,0.47932617637113717,post_selection_logistic,kmeans_k3
Cluster_01,sad,0.47681936056135943,0.47681936056135943,post_selection_logistic,kmeans_k3
Cluster_02,time,0.4740036870834055,0.4740036870834055,post_selection_logistic,kmeans_k3
Cluster_01,unpleasant,0.46537663893131337,0.46537663893131337,post_selection_logistic,kmeans_k3
Cluster_02,sad,-0.462795853129375,0.462795853129375,post_selection_logistic,kmeans_k3
Cluster_03,weight,0.450659702957477,0.450659702957477,post_selection_logistic,kmeans_k3
Cluster_01,consequential,0.44352158908276407,0.44352158908276407,post_selection_logistic,kmeans_k3
Cluster_02,weight,-0.43124500261246207,0.43124500261246207,post_selection_logistic,kmeans_k3
Cluster_03,consequential,-0.42515184125994054,0.42515184125994054,post_selection_logistic,kmeans_k3
Cluster_03,short,-0.40683949613858855,0.40683949613858855,post_selection_logistic,kmeans_k3
Cluster_03,long,-0.40295688162991816,0.40295688162991816,post_selection_logistic,kmeans_k3
Cluster_03,cognition,-0.3968234515486622,0.3968234515486622,post_selection_logistic,kmeans_k3
Cluster_02,happy,0.37871582775968615,0.37871582775968615,post_selection_logistic,kmeans_k3
Cluster_03,touch,0.3652233146517302,0.3652233146517302,post_selection_logistic,kmeans_k3
Cluster_02,unpleasant,-0.36252531207719935,0.36252531207719935,post_selection_logistic,kmeans_k3
Cluster_01,disgusted,0.3618653549592936,0.3618653549592936,post_selection_logistic,kmeans_k3
Cluster_03,texture,0.36028882538282864,0.36028882538282864,post_selection_logistic,kmeans_k3
Cluster_03,drive,-0.35745367982092935,0.35745367982092935,post_selection_logistic,kmeans_k3
Cluster_01,fearful,0.3568810785680324,0.3568810785680324,post_selection_logistic,kmeans_k3
Cluster_03,small,0.3467373827557093,0.3467373827557093,post_selection_logistic,kmeans_k3
Cluster_02,biomotion,0.34183536435457446,0.34183536435457446,post_selection_logistic,kmeans_k3
Cluster_02,practice,-0.33997804182788893,0.33997804182788893,post_selection_logistic,kmeans_k3
Cluster_01,needs,-0.3372081909681221,0.3372081909681221,post_selection_logistic,kmeans_k3
Cluster_01,social,0.3335951903367143,0.3335951903367143,post_selection_logistic,kmeans_k3
Cluster_03,scene,0.3311502988893411,0.3311502988893411,post_selection_logistic,kmeans_k3
Cluster_03,shape,0.32911168086626746,0.32911168086626746,post_selection_logistic,kmeans_k3
Cluster_02,speech,0.32714837293537163,0.32714837293537163,post_selection_logistic,kmeans_k3
Cluster_01,angry,0.32680452188433173,0.32680452188433173,post_selection_logistic,kmeans_k3
Cluster_02,bright,-0.3228241017743627,0.3228241017743627,post_selection_logistic,kmeans_k3
Cluster_02,benefit,0.3222325672668681,0.3222325672668681,post_selection_logistic,kmeans_k3
Cluster_02,touch,-0.3176340730073184,0.3176340730073184,post_selection_logistic,kmeans_k3
Cluster_01,harm,0.31239935000448693,0.31239935000448693,post_selection_logistic,kmeans_k3
Cluster_03,time,-0.3083829490932224,0.3083829490932224,post_selection_logistic,kmeans_k3
Cluster_01,long,0.30559604058862144,0.30559604058862144,post_selection_logistic,kmeans_k3
Cluster_03,biomotion,-0.30419481830171624,0.30419481830171624,post_selection_logistic,kmeans_k3
Cluster_02,fearful,-0.29656703600576323,0.29656703600576323,post_selection_logistic,kmeans_k3
