feature,is_selected,max_abs_coefficient,n_nonzero_class_coefficients
unpleasant,True,1.4465139655961594,1
caused,True,1.3049709735219692,2
human,True,1.2576844913507228,2
duration,True,0.9271730630576304,2
pain,True,0.8205864941348553,2
attention,True,0.8100180842688869,1
texture,True,0.7417156543431704,1
cognition,True,0.7056598784850765,1
practice,True,0.693584424447693,1
weight,True,0.6577869468541602,2
bright,True,0.6271343805594977,1
happy,True,0.5719953020048107,2
consequential,True,0.5573860110426297,2
pattern,True,0.48622591769315937,1
benefit,True,0.4746802573745386,2
sound,True,0.4179204864840334,1
time,True,0.3673065732854351,1
number,True,0.33155200019497183,1
self,True,0.3244681305297829,1
drive,True,0.30641717541084257,1
angry,True,0.2887582799601245,1
touch,True,0.2734113110876579,2
needs,True,0.27229024274080277,1
disgusted,True,0.23945126775238246,2
temperature,True,0.23194607197089295,1
harm,True,0.21439985212119486,1
fearful,True,0.2097051116143226,1
scene,True,0.19950820993038731,1
sad,True,0.18607640275458306,2
short,True,0.15540617442853336,2
vision,True,0.15365265971454575,1
surprised,True,0.13753440678526113,1
color,True,0.11658663680085031,2
dark,True,0.09133646276723816,1
smell,True,0.06673953803964813,2
audition,True,0.053324915300751556,1
small,True,0.014450342298511573,1
shape,False,0.0,0
pleasant,False,0.0,0
arousal,False,0.0,0
social,False,0.0,0
speech,False,0.0,0
long,False,0.0,0
face,False,0.0,0
communication,False,0.0,0
near,False,0.0,0
taste,False,0.0,0
complexity,False,0.0,0
biomotion,False,0.0,0
upperlimb,False,0.0,0
body,False,0.0,0
large,False,0.0,0
fast,False,0.0,0
loud,False,0.0,0
head,False,0.0,0
low,False,0.0,0
high,False,0.0,0
landmark,False,0.0,0
toward,False,0.0,0
path,False,0.0,0
lowerlimb,False,0.0,0
slow,False,0.0,0
away,False,0.0,0
music,False,0.0,0
motion,False,0.0,0
