"Domain","Component","Description (with reference to nouns)"
"Vision","Vision","something that you can easily see"
"Vision","Bright","visually light or bright"
"Vision","Dark","visually dark"
"Vision","Colour","having a characteristic or defining colour"
"Vision","Pattern","having a characteristic or defining visual texture or surface pattern"
"Vision","Large","large in size"
"Vision","Small","small in size"
"Vision","Motion","showing a lot of visually observable movement"
"Vision","Biomotion","showing movement like that of a living thing"
"Vision","Fast","showing visible movement that is fast"
"Vision","Slow","showing visible movement that is slow"
"Vision","Shape","having a characteristic or defining visual shape or form"
"Vision","Complexity","visually complex"
"Vision","Face","having a human or human-like face"
"Vision","Body","having human or human-like body parts"
"Somatic","Touch","something that you could easily recognize by touch"
"Somatic","Temperature","hot or cold to the touch"
"Somatic","Texture","having a smooth or rough texture to the touch"
"Somatic","Weight","light or heavy in weight"
"Somatic","Pain","associated with pain or physical discomfort"
"Audition","Audition","something that you can easily hear"
"Audition","Loud","making a loud sound"
"Audition","Low","having a low-pitched sound"
"Audition","High","having a high-pitched sound"
"Audition","Sound","having a characteristic or recognizable sound or sounds"
"Audition","Music","making a musical sound"
"Audition","Speech","someone or something that talks"
"Gustation","Taste","having a characteristic or defining taste"
"Olfaction","Smell","having a characteristic or defining smell or smells"
"Motor","Head","associated with actions using the face, mouth, or tongue"
"Motor","Upper limb","associated with actions using the arm, hand, or fingers"
"Motor","Lower limb","associated with actions using the leg or foot"
"Motor","Practice","a physical object YOU have personal experience using"
